,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
ANGPTL7,0.000830874,0.000577228,0.002135811,0.000282985,0.041633081,0.000135426,0.002392508,0.021259051,0.000205164
UBIAD1,0.17038776,0.001828685,0.234750137,0.052449644,0.042266317,0.032808814,0.137497723,0.033339325,0.047141224
DISP3,0.000662601,0.000221513,0.002046907,0.000259273,0.000164485,0.000110496,0.002440173,0.002711664,0.000183871
AL031731.1,0.000486867,0.000160752,0.002143301,0.000205519,0.000204752,0.000149372,0.001914275,0.000406296,0.000296964
FBXO2,0.013020174,0.015779473,0.002512755,0.043246314,0.000192823,0.000159688,0.141781658,0.000717229,0.000289711
FBXO44,0.042316273,0.01134091,0.003516174,0.084183693,0.126378298,0.000309473,0.297494054,0.052249562,0.089396901
FBXO6,0.180133283,0.004857272,0.003166966,0.043216266,0.000226096,0.030389821,0.123830959,0.041379672,0.104526661
MAD2L2,0.248551294,0.098601855,0.967222273,0.09641508,0.095512897,0.00233882,0.56557107,0.154618606,0.127585977
DRAXIN,0.000490956,0.000223465,0.002420457,0.000224954,0.000245162,0.000259624,0.002003966,0.000646917,0.000286793
AGTRAP,0.149782285,0.047681704,0.598201036,0.096952111,0.072975077,0.094465189,0.705762565,0.212139577,0.079015709
C1orf167,0.001852111,0.000300522,0.003164481,0.000592948,0.00023403,0.00028336,0.002667545,0.00757611,0.000377227
MTHFR,0.013458932,0.035298046,0.234227404,0.043039195,0.000133255,0.030416209,0.142334312,0.024781784,0.000557243
CLCN6,0.014898569,0.029734589,0.001839524,0.000145019,0.000754198,0.035639562,0.001632676,0.081371382,0.000833479
NPPA,0.000659615,0.000184548,0.002099621,0.00020608,0.000202393,0.000169229,0.001854994,0.000506262,0.000338228
AL021155.5,0.014408971,0.008889729,0.002082313,0.042118907,0.000569882,0.000213609,0.002074444,0.001006727,0.000424239
KIAA2013,0.256426096,0.049168095,0.858977795,0.108630955,0.039169036,0.034673732,0.708945096,0.190541446,0.164197981
PLOD1,0.238292187,0.151578113,0.280202657,0.079316027,0.077369459,0.12799184,0.830756009,0.20175609,0.143076003
MFN2,0.310456187,0.066547394,0.84737283,0.055653475,0.052229267,0.061088935,0.462460518,0.10861367,0.055490594
MIIP,0.114650965,0.052207761,0.005762372,0.04988445,0.049178042,0.094123162,0.393614501,0.132941023,0.046753794
TNFRSF8,0.001367709,0.000537613,0.002415853,0.00021099,0.000391693,0.00020166,0.002192825,0.000825812,0.000474277
TNFRSF1B,0.236242518,0.156252235,0.001350155,0.050223153,0.049647506,0.03022333,0.511677504,0.275861382,0.213418484
VPS13D,0.105394453,0.028066168,0.807787895,0.072748333,0.050827362,0.062998429,0.269072175,0.04497442,0.000688038
LINC02766,0.000597448,0.00020557,0.002183341,0.000211702,0.000286912,0.000196798,0.001869525,0.00046662,0.000373071
DHRS3,0.564333498,0.411030233,1.150927305,0.262885243,0.134250805,0.066607922,1.380952835,0.270740777,0.258189082
AC254633.1,0.000501272,0.000145399,0.00205339,0.000205202,0.00021054,0.000158948,0.001755148,0.000456693,0.000301571
