"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
NA,NA,"AC083809.1",NA,NA,"CEP78",NA,NA,"LINC01770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"HMGCS1",NA,NA,"CITED4",NA,NA,"STAU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SLC5A9",NA,NA,"EPDR1",NA,NA,"PNO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SHF",NA,NA,"FOXK1",NA,NA,"FAM90A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ELOVL2",NA,NA,"HAVCR1",NA,NA,"MZT2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GPANK1",NA,NA,"AC092053.2",NA,NA,"CCDC107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"USP45",NA,NA,"ZNF222",NA,NA,"PHACTR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CAPRIN2",NA,NA,"UBXN2A",NA,NA,"EVA1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"JMJD6",NA,NA,"XRCC5",NA,NA,"AC083880.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ACMSD",NA,NA,"PTDSS1",NA,NA,"MCRIP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CCDC130",NA,NA,"SMIM14",NA,NA,"PNLIPRP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CTSH",NA,NA,"AC068385.1",NA,NA,"AL035252.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LINC02152",NA,NA,"XPA",NA,NA,"SLC14A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MAX",NA,NA,"CBX6",NA,NA,"AC040904.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ACTN4",NA,NA,"UBLCP1",NA,NA,"AL158211.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"COG8",NA,NA,"ZNF106",NA,NA,"STT3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ABL2",NA,NA,"MCUR1",NA,NA,"PTAR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZCCHC18",NA,NA,"R3HCC1",NA,NA,"GRB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GRAMD4",NA,NA,"ALDH18A1",NA,NA,"SDHAF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SSU72",NA,NA,"KIF19",NA,NA,"HBS1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"DECR2",NA,NA,"LINC02331",NA,NA,"KCNK13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"RASSF1",NA,NA,"AL589863.2",NA,NA,"DUSP9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZNF516",NA,NA,"AC117503.1",NA,NA,"ZNF354B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TSEN34",NA,NA,"FDPS",NA,NA,"PGAM5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NFKBIL1",NA,NA,"MEIS1",NA,NA,"COL4A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GNG8",NA,NA,"FMO5",NA,NA,"USP13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TM4SF5",NA,NA,"MTFR1L",NA,NA,"EXTL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CRELD2",NA,NA,"ASCC2",NA,NA,"CORO1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"IKBKB",NA,NA,"MORN4",NA,NA,"TXN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"L3MBTL2",NA,NA,"DOHH",NA,NA,"AC016027.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GNB1L",NA,NA,"CEP295",NA,NA,"KSR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"AC078983.1",NA,NA,"MTMR4",NA,NA,"RBMX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"AL928654.2",NA,NA,"SLAMF9",NA,NA,"MEFV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SNRK",NA,NA,"SLC37A4",NA,NA,"ARRDC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SOX13",NA,NA,"FGFR1OP",NA,NA,"LINC00595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MSH4",NA,NA,"TMEM223",NA,NA,"TIFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"STAM2",NA,NA,"COG7",NA,NA,"LINC00899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CD9",NA,NA,"ADAMTS15",NA,NA,"NUDT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ARRDC4",NA,NA,"AC027807.2",NA,NA,"HGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"EAF1-AS1",NA,NA,"PIWIL1",NA,NA,"TMEM144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"REXO4",NA,NA,"CTR9",NA,NA,"RGS6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"COG7",NA,NA,"EVL",NA,NA,"GALNT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MARC2",NA,NA,"TSC1",NA,NA,"FSTL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MRPL24",NA,NA,"NAP1L1",NA,NA,"MMRN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CENPF",NA,NA,"OR4F17",NA,NA,"RAB18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MED21",NA,NA,"KANTR",NA,NA,"CEP55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SLC35A2",NA,NA,"EIF2B5",NA,NA,"DYNLL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SNRPA1",NA,NA,"SLC25A38",NA,NA,"STMN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SNRNP70",NA,NA,"SLC5A11",NA,NA,"ARHGAP8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PGRMC2",NA,NA,"BECN1",NA,NA,"RPP40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"RNPEPL1",NA,NA,"ADARB1",NA,NA,"AC010136.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CLPP",NA,NA,"RAB9A",NA,NA,"SLC5A9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"SAP130",NA,NA,"POLL",NA,NA,"AL158211.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MTPAP",NA,NA,"DHX40",NA,NA,"AZIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ABCG4",NA,NA,"BX284668.5",NA,NA,"CNBD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LINC01799",NA,NA,"PHF6",NA,NA,"IVD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NIPSNAP1",NA,NA,"ZBTB16",NA,NA,"AC016747.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"LINC01594",NA,NA,"SDC4",NA,NA,"CD68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"AC011479.4",NA,NA,"NFU1",NA,NA,"AC022784.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"WDR90",NA,NA,"DECR1",NA,NA,"FBXL13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TGFB1",NA,NA,"HSD17B12",NA,NA,"STPG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"PPFIBP2",NA,NA,"EFCAB10",NA,NA,"IRF2BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"AC116407.2",NA,NA,"MKNK1",NA,NA,"CREBZF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TMX3",NA,NA,"YTHDC2",NA,NA,"AP001412.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ETV4",NA,NA,"CDH15",NA,NA,"CD14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"RPRD1B",NA,NA,"AC069234.4",NA,NA,"POLR2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"ZSCAN29",NA,NA,"MLXIPL",NA,NA,"LATS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"AK1",NA,NA,"CYHR1",NA,NA,"DLGAP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"RPP21",NA,NA,"LINC01488",NA,NA,"HTR3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"NDUFA3",NA,NA,"LINC02139",NA,NA,"HSPA12A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"MGAT2",NA,NA,"AL390067.1",NA,NA,"LUC7L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TAX1BP1",NA,NA,"HCFC1",NA,NA,"AC020594.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC02381",NA,NA,"DPH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AL365226.2",NA,NA,"TMEM246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"RAVER1",NA,NA,"OR10G4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"RNF31",NA,NA,"TMEM212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PHB2",NA,NA,"N4BP2L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LRWD1",NA,NA,"TSPAN31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SLC9A3R2",NA,NA,"DDX18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PVT1",NA,NA,"SLC39A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"HIST2H2AA4",NA,NA,"WNK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LIMS2",NA,NA,"AKT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"KIF13A",NA,NA,"RNASET2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SND1",NA,NA,"DDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SLC35B3",NA,NA,"RETSAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"HSPG2",NA,NA,"CTPS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SCAND1",NA,NA,"UNC119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PALM",NA,NA,"VAPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CHCHD3",NA,NA,"FAM107A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC02749",NA,NA,"GDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"XRCC6",NA,NA,"BCLAF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TNS1",NA,NA,"AP2S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PGPEP1",NA,NA,"HMGXB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CLINT1",NA,NA,"ACTN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AIFM2",NA,NA,"AC090164.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AL158211.2",NA,NA,"VSIG10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AFAP1-AS1",NA,NA,"ARID4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AP005530.1",NA,NA,"PIK3CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC064805.1",NA,NA,"RGL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"NABP1",NA,NA,"RBM25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"DDX5",NA,NA,"TRNAU1AP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC01858",NA,NA,"ZNF585B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ZNF33A",NA,NA,"PRR26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AKIRIN2",NA,NA,"AL022098.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"IQCA1",NA,NA,"AC010198.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PAN3-AS1",NA,NA,"PSMD12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"FAM120B",NA,NA,"SLC20A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ADAR",NA,NA,"TDO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"HLA-DQB1",NA,NA,"GRK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"FKBP15",NA,NA,"GK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC136475.9",NA,NA,"RDH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"DHX8",NA,NA,"AC007952.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"UQCRH",NA,NA,"TRAPPC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"NPTN",NA,NA,"RAB39A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CDC42SE1",NA,NA,"STX1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"GOLGA7",NA,NA,"PGGT1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LUC7L",NA,NA,"COPB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"RASSF4",NA,NA,"RAB14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC02795",NA,NA,"AC093227.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"KNTC1",NA,NA,"SPDYE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"BRPF3",NA,NA,"ESRRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AL034417.3",NA,NA,"HGSNAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AFAP1L1",NA,NA,"SIRT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"XIAP",NA,NA,"AL023913.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"NDUFB8",NA,NA,"SYNE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"MRPS34",NA,NA,"WNT10B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"FAM184B",NA,NA,"RBPMS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"FGF21",NA,NA,"ATP6V0C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"DDX59-AS1",NA,NA,"AL035448.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"MCFD2",NA,NA,"AC020892.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"C3orf62",NA,NA,"ASPHD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ST6GALNAC6",NA,NA,"RPRD1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"DCAF5",NA,NA,"MDH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SMIM4",NA,NA,"BUB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ADIG",NA,NA,"MEF2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"BPHL",NA,NA,"AIG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SYNJ2",NA,NA,"AVL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TNKS2",NA,NA,"AKAP8L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"OGDH",NA,NA,"SNHG7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC010641.2",NA,NA,"PPARGC1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SHISAL1",NA,NA,"COBLL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"HBZ",NA,NA,"ADAM11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ATG4A",NA,NA,"MAS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AGAP3",NA,NA,"ABHD18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PCP4",NA,NA,"CKMT1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC01050",NA,NA,"TMPRSS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CXCL12",NA,NA,"BRAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC080038.2",NA,NA,"BTBD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TBCK",NA,NA,"GALNT6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"NUTM2D",NA,NA,"BZW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"XYLB",NA,NA,"AL021328.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TMEM145",NA,NA,"LRMDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"STIP1",NA,NA,"MSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC004083.1",NA,NA,"CSKMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AL359380.1",NA,NA,"SHANK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"MYH14",NA,NA,"ZNF683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ZNF428",NA,NA,"MBTPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TIMM44",NA,NA,"FBXO46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"JPX",NA,NA,"DEPTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC007878.1",NA,NA,"C8orf76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"TPD52L1",NA,NA,"AC009812.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC107905.1",NA,NA,"PAQR7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ANO6",NA,NA,"FAM92A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"ATPAF2",NA,NA,"AC091564.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AKR1C2",NA,NA,"TCF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC01607",NA,NA,"AC007785.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"MRM2",NA,NA,"AC105020.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC106712.1",NA,NA,"NAT8L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CD2AP",NA,NA,"MRPL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"GOLGA5",NA,NA,"RBM42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SLC43A1",NA,NA,"C11orf97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"AC097462.3",NA,NA,"PPP2R5D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"LINC02821",NA,NA,"TMEM14A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"S100PBP",NA,NA,"COX11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"CYP3A4",NA,NA,"NOP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"FAM104A",NA,NA,"FMO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"GGCT",NA,NA,"S100B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"MRPS7",NA,NA,"HSD17B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"SERPINH1",NA,NA,"TMEM161B-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"PAGR1",NA,NA,"CDH5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"REPIN1",NA,NA,"AC079305.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"XIST",NA,NA,"ENPEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
