"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"SUCLG2-AS1","LINC01136","LINC01719","RARB","CCDC138","LRRC8C","PCDHB8","RGS16","AC093157.1","PCDHB4","AC096642.1","C2orf66","AL591848.2","AL049780.2","LINC02021","RPL14","AC012073.1","ZPLD1","TMEM233","AL118511.1","CPLANE2","CACNA2D4"
"ADGRG7","MFSD4A","AC245297.3","COL8A1","AMER3","GFI1","ADRB2","LMOD1","GPR61","AC146507.3","DISC1","SUCNR1","LINC00870","U62317.1","AC093424.1","TMA7","SND1-IT1","AC010973.2","VAV3","LGALS8-AS1","AL359878.1","HULC"
"SLC15A2","SLC26A9","AL590133.1","ABI3BP","LYPD6B","CCDC18-AS1","ARHGEF37","ERLNC1","GSTM2","AC136604.3","AL160408.2","AC067750.1","CDH15","CFAP73","DIABLO","RPL29","AL122023.1","AC108134.3","FRMD1","ALKAL2","AC123768.4","SLPI"
"CPA3","CTSE","C1orf56","CCDC80","ACVR1C","BCAR3","C5orf47","REN","AL390195.2","MYLK4","NLRP3","AF111169.3","AC009318.1","ISLR2","AL008729.2","RPL24","PABPC4L","AC009686.2","COL23A1","TAF1B","BMP6","AC020978.5"
"SIAH2-AS1","TRIM17","C2CD4D-AS1","ZBTB20","AC009948.3","ARHGAP29-AS1","EDN1","FCMR","AP4B1","AL391422.4","LYPD8","AP000692.2","COL8A2","AATBC","RERG","SPICE1","POT1-AS1","HOXA4","AC036108.2","CYS1","CEACAM21","SOX5"
"AC007687.1","AL122008.3","AC234582.1","ARHGAP31","AC009962.1","LRRC39","HIST1H2AL","FLVCR1-DT","AL445231.1","PSORS1C1","AC017076.1","UNC13D","AL161729.4","SRCIN1","TAPT1-AS1","TF","U62317.4","AC104806.2","LMX1B","ODC1-DT","AC100803.4","AZGP1"
"FAM43A","AL355472.3","HCN3","BCHE","PPP1R1C","DPH5","LINC02569","AL353593.1","TBX15","SYNGAP1-AS1","EFR3B","CDK11B","ARMC2","CYP4A22","LINC01252","TM4SF4","LINC01134","CCDC170","EPHB2","C2orf50","ANKRD31","GPLD1"
"BST1","AC092801.1","PKLR","TNIK","DUSP19","KIAA1324","IP6K3","AL133516.1","AL592494.1","AL035701.1","XDH","AL033527.4","AC009336.1","TNIK","DRC7","P2RY1","AC093458.1","POLN","AC015802.5","MFSD2B","KIF9-AS1","AC095057.4"
"CEP135","ID2-AS1","BCAN","AC107294.2","SATB2-AS1","STRIP1","RPS10-NUDT3","MAP10","NOTCH2NLA","CYP39A1","NLRC4","LINC01116","GJA5","LINC00685","AC009336.1","RPL22L1","BATF","NEXMIF","AC074032.1","AGBL5-AS1","DLGAP1-AS2","CFHR2"
"AC111000.4","AC012065.3","AL365181.3","HTRA3","AC007383.2","SLC16A1-AS1","BMP5","AL391832.1","LINC01138","LINC01564","STRN","IFIT2","TRABD2A","ENOX1","PTGS2","AHSG","TNFAIP8L2","TMEM156","SIX3-AS1","TRIM54",NA,"ACOT12"
"CXCL9","POMC","MNDA","C1QTNF7","AC021016.3","NGF","TBX18","AC080162.1","ECM1","CGAS","SLC8A1","AC005332.4","CCDC198","KLLN","AC012645.1","LPP-AS2","GNB3","C5orf46","AC018648.1","AL133243.2",NA,"GUCA2A"
