"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"ANKMY1","GDF11","ARL4C","ADORA2A","ZEB2","COX18","AC009236.1","SRGAP3",NA,"ZSCAN9","STXBP1","SKA3"
"CAPN10","ZBTB39","CAPN10-DT","AL022323.1","FAP","TMEM150C","AC083805.1","TRMT10B",NA,"TTC9","SFR1","RFC3"
"FARP2","AC090061.1","AC024060.2","MIATNB","CYBRD1","ARHGAP24","SETMAR","TUBA4B",NA,"PDP1","INPP5F","DLEU1"
"TAMM41","E2F7","TTLL3","CASTOR1","PDK1","PKD2","CEP83","RUSC1-AS1",NA,"MIR548XHG","OAT","MIPOL1"
"KAT2B","GAS2L3","FANCD2","Z73420.1","HOXD9","NAP1L5","FKBPL","AC007066.2",NA,"TET1","MOGAT2","GPR137C"
"CNOT10","AC069234.5","ANKRD28","AL022322.1","COL3A1","CENPE","TOE1","LIPT2",NA,"ZNF547","FUT4","HSPA2"
"ENTPD3-AS1","RUBCNL","POMGNT2","DMC1","COL5A2","TBCK","NINJ2","HACE1",NA,"AL162458.1","GUCY1A2","AL121820.2"
"LIMD1","CDH24","FYCO1","BX537318.1","PLCL1","LINC01091","HIST2H2BF","NAIF1",NA,"INPP1","AP000766.1","GANC"
"LRRC2","NRL","KIF9","GPRASP1","NRP2","HSPA4L","LINC02550","SLC16A13",NA,"B4GALNT1","APOA4","LCMT2"
"ALS2CL","ACOT4","TRAIP","ZNF449","IGFBP5","SNX25","GLDN","PROB1",NA,"NFXL1","CD3D","CCNB2"
"SEMA3B","AL583810.2","C3orf18","LDLRAD1","COL4A4","KLKB1","AC083837.1","LRRC37B",NA,NA,"SLC6A13","CA12"
"HEMK1","MEIS2","CACNA1D","LINC01833","EFHD1","OTULINL","PIK3CD-AS2","MAST1",NA,NA,"TBC1D30","BBS4"
"PARP3","STRC","ACTR8","MCMDC2","COL6A3","IL7R","CNKSR2","NR4A2",NA,NA,"LINC01619","ADAMTS7"
"WDR82","SHC4","ARHGEF3","SUSD3","GPR35","C7","POLA2","TRIM16",NA,NA,"SDS","TEDC2"
"DENND6A","TEX9","AC112219.2","CFAP43","SNED1","FBXO4","ZNF350","RHOF",NA,NA,"AC026765.3","PKMYT1"
"MITF","GOLGA6L4","LINC02035","LTB4R","ITPR1","CCL28","TULP3","YTHDF3-AS1",NA,NA,"BICDL1","AC002310.1"
"LINC00870","VPS33B-DT","LINC02614","IHH","AC069277.1","CENPK","AP001065.3","BUB1",NA,NA,"NRAV","PYCARD"
"GXYLT2","CACNA1H","MSL2","FCN1","FGD5","ANKRA2","AC069307.1","CCNJ",NA,NA,"AL161772.1","RPGRIP1L"
"GRAMD1C","CD2BP2-DT","CLSTN2","C1QL4","COLQ","LMNB1","FGFR1","AC016588.2",NA,NA,"TEX30","NIP7"
"FSTL1","NETO2","PLSCR4","KLLN","RFTN1","SOWAHA","AC100861.1","FAT4",NA,NA,"AL139385.1","PLD6"
"IQCB1","SNAI3-AS1","TM4SF18","AC107021.2","THRB-IT1","CDKL3","ZNF438","PIMREG",NA,NA,"DHRS2","LINC01976"
"SEMA5B","AC130343.2","PFN2","SPATA33","ZCWPW2","ARHGEF37","GPR162","ZNF175",NA,NA,"LRR1","HEXIM2"
"ABTB1","AC087742.1","NAALADL2","PIK3R6","RBMS3","RNF145","AL021368.2","ZNF547",NA,NA,"OTUB2","AC002401.3"
"ISY1","HS3ST3A1","PIK3CA","CCNE1","TRANK1","C5orf58","PHKA1","WDR62",NA,NA,"UBAP1L","MAP2K6"
