"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"PRRT1","BDKRB2","PRR15","GMEB1","SEMA6A","MINCR","URB1-AS1",NA,NA,NA,"ACE","AC084198.2"
"PPT2","DUS4L","ANLN","P3H3","LOX","AC109322.1","XRCC4",NA,NA,NA,"EPM2A","AC080129.2"
"UBR2","LINC00324","SNHG15","BORA","ZNF608","SCX","GLUD2",NA,NA,NA,"NPAS1","TWNK"
"C6orf226","MELTF","FGL2","SLX4","MARCH3","FOCAD","KIF14",NA,NA,NA,"ARMCX1","CU638689.4"
"CRIP3","DNAH14","PHTF2","AL139383.1","EGR1","CAAP1","SLC25A29",NA,NA,NA,"AC009237.15","SBNO1-AS1"
"POLR1C","PCSK4","ANKIB1","NTN1","ECSCR","IFT74","MSANTD4",NA,NA,NA,"AC024560.4","GLMN"
"ENPP5","RAB37","TRRAP","TRIM34","TMEM173","RNF38","AC112178.1",NA,NA,NA,"MCTP1","NBPF10"
"TTK","EPHA2","TSC22D4","AC018645.3","DPYSL3","ANKRD20A4","SPAST",NA,NA,NA,"AL121839.2","SP4"
"LINC02535","PRXL2C","IFT22","FADS6","C5orf46","PRUNE2","TATDN2",NA,NA,NA,"AC005523.2","MNS1"
"MDN1","C16orf91","LRWD1","GDPD5","AFAP1L1","FGD3","SCAMP1-AS1",NA,NA,NA,"MAFG","MLLT10"
"AL513550.1","HTR4","NAPEPLD","TMEM200A","CARMN","ZNF169","CNBD2",NA,NA,NA,"CCDC68","COX10-AS1"
"ASF1A","PAK3","COG5","AC037198.1","CSF1R","HABP4","HEG1",NA,NA,NA,"BTNL8","AC007448.4"
"FAM184A","MCC","NRF1","USP30-AS1","SPARC","PHF19","SPRED1",NA,NA,NA,"LINC01780","AL161908.1"
"GJA1","DCUN1D2","ZBED6CL","ZNF669","HAVCR2","LMX1B","AC008937.3",NA,NA,NA,"SLC16A10","OSR2"
"HSF2","JAM2","LRRC61","ABCC11","EBF1","SURF6","GLE1",NA,NA,NA,"AC087379.2","SEC31B"
"TBPL1","HMMR","CLDN23","VPS37B","DOCK2","BRD3OS","LTC4S",NA,NA,NA,"MT3","SHPK"
"HECA","MICALL1","AC021242.3","AC064836.3","ADAMTS2","C9orf116","AL513477.2",NA,NA,NA,"C12orf75","HSD17B3"
"PRKAR1B","SHE","AC027117.1","SERPINB8","EDN1","CCDC187","PAQR4",NA,NA,NA,"RBM34","WNT5A"
"TMEM184A","ZFP92","TRIM35","ZNF607","HIST1H4C","ABCA2","VNN3",NA,NA,NA,"REV3L","ZNF19"
"MRM2","SCAMP1-AS1","AC100814.1","AL031123.2","BTN3A3","CAMK1D","CASP10",NA,NA,NA,"PDCL3","RBM48"
"SNX8","RAD51AP1","AC009812.4","AZIN2","TRIM31","AC069544.1","SLC15A3",NA,NA,NA,"GTF3C5","FAT1"
"DAGLB","TMEM79","ZNF704","GPR161","AIF1","KIAA1217","BCL11A",NA,NA,NA,"U91319.1","ZSCAN5A"
"ZNF316","CRPPA","SPAG1","AMIGO2","HLA-DQA1","AL356056.1","RTN4IP1",NA,NA,NA,"PLA2G2A","AL391834.2"
"ARL4A","SPDL1","LINC01608","AL135925.1","PSMB8-AS1","TIMM23B","KLHL15",NA,NA,NA,"CHUK","WDR53"
"BZW2","AADAT","MED30","CCNE2","HLA-DMA","LNCAROD","ZNF140",NA,NA,NA,"MAPK8IP2","RHNO1"
"SNX13","AC006238.1","AC091563.1","AL441883.1","HLA-DOA","HKDC1","SASS6",NA,NA,NA,"ZNF10","BTRC"
"NUP42","CIB2","AC068228.3","ZNF214","CPNE5","VSIR","ZBTB47",NA,NA,NA,"MYH4","AL353801.3"
"HOXA7","DUOX2","TRMT12","ZNF582-AS1","FGD2","CFAP70","HOMEZ",NA,NA,NA,"AL031775.1","AC090114.2"
"INHBA","MBLAC2","MYC","ZNF782","TRERF1","CAMK2G","SFN",NA,NA,NA,"EVA1C","KANSL1-AS1"
"STK17A","ADAT1","ASAP1","AC106820.3","ADGRF5","GRID1","ADAP1",NA,NA,NA,"ACY3","AL354950.1"
"CAMK2B","LARGE1","AC103706.1","AC021205.3","OGFRL1","HECTD2","KBTBD6",NA,NA,NA,"PSMC3IP","C17orf80"
"PHKG1","LYPD6","JRK","AC139493.2","CD109","TCTN3","ZW10",NA,NA,NA,"PEX11G","R3HCC1L"
"CRCP","NRCAM","ZFP41","ZBED8","COL12A1","AL133353.1","AC023509.3",NA,NA,NA,"GDF9","INCA1"
"METTL27","AC012645.1","ZNF696","BTBD16","FILIP1","OLMALINC","FAM222B",NA,NA,NA,"AL356804.1","TMEM99"
"LIMK1","ST7","TIGD5","DAPL1","BACH2","ITPRIP","OXNAD1",NA,NA,NA,"ODF2L","GIMAP6"
"GTF2IRD2B","SLC23A3","SLC52A2","LOXL1","Z95118.2","C10orf88","EXOG",NA,NA,NA,"AC024361.1","NDUFV2-AS1"
"PTPN12","SAMD12","KDM4C","NCEH1","AK9","DHX32","PIGB",NA,NA,NA,"TMEM145","PDGFRL"
"LMTK2","PARTICL","SNAPC3","AL590560.2","DSE","CRACR2B","TNFRSF6B",NA,NA,NA,"CYP11A1","LRRC75A"
"COL26A1","KATNB1","ABHD17B","PYROXD2","CALHM6","C11orf21","RASD1",NA,NA,NA,"DSCC1","ASPA"
"AC018638.7","SMYD4","C9orf85","MBOAT1","LAMA2","DNHD1","AC096589.2",NA,NA,NA,"DOK2","ZNF283"
"IRF5","ZNF667-AS1","RMI1","PLXNA3","ABRACL","DENND5A","AP3M2",NA,NA,NA,"AC009271.1","SLX1A"
"AC016831.1","NKRF","NAA35","AC078846.1","THBS2","SPTY2D1","ZNF354B",NA,NA,NA,"FKBP6","COX7B2"
"PODXL","MRM1","BICD2","FAM13A-AS1","PDGFA","PRRG4","LINGO1",NA,NA,NA,"TRIM16L","IQCH"
"PARP12","ACVR2B","DENND1A","C4A","AC092171.4","TCP11L1","ZNF296",NA,NA,NA,"FNDC10","S100A1"
"DENND2A","AC087564.1","LRSAM1","PKHD1L1","GPNMB","ALKBH3","SPIN4",NA,NA,NA,"WASF3","AC139100.2"
"AGK","LINC00482","AL441992.1","AKR7A3","SNX10","AMBRA1","CHD7",NA,NA,NA,"TMPRSS3","POLH"
"ARHGEF35","CAMK2N2","NCS1","PDE2A","HOTAIRM1","PRG2","GSTCD",NA,NA,NA,"ZNF367","AL354696.1"
"ZNF398","PLAT","CEL","AC138969.1","AEBP1","MS4A4A","LPCAT4",NA,NA,NA,"PTPRD","CENPP"
"ZNF746","SPTBN5","RALGDS","AC004941.1","MAGI2-AS3","CD6","REXO4",NA,NA,NA,"AC129507.2","ZNF649"
"GIMAP5","EFL1","NPDC1","LCN2","TMEM243","VPS37C","ZNF552",NA,NA,NA,"SNHG30","MLKL"
"PRKAG2","MCM9","SAPCD2","MAP3K8","COL1A2","AP003068.1","OSBPL10",NA,NA,NA,"ZNF595","DMRTA1"
"AC009403.1","LRFN3","BX255925.3","AC124016.2","SGCE","FAM86C1","ASRGL1",NA,NA,NA,"CYB5D1","INPP1"
"ANGPT2","SMC2","ZMYND19","B3GNTL1","ZKSCAN5","FCHSD2","SKAP1",NA,NA,NA,"APCS","SLC12A8"
"PRAG1","AP003068.2","NSUN6","EDAR","GAL3ST4","AP002761.4","TEDC1",NA,NA,NA,"FLRT3","LINC01003"
"AC022784.1","CDR2L","OTUD1","PROCR","SERPINE1","PPME1","ZNF346",NA,NA,NA,"CLUL1","LINC02139"
"NEIL2","AL606760.1","ZNF37A","SCAPER","ORAI2","POLD3","TRMT10A",NA,NA,NA,"AL162253.2","EMSY"
"AC025857.2","PRPF4","ZNF33B","CENPL","LRRC17","UVRAG","TTC28",NA,NA,NA,"AC021037.1","ZKSCAN4"
"ESCO2","ATRIP","CSGALNACT2","RAD1","KMT2E","RAB30-DT","CYP2A6",NA,NA,NA,"ARHGAP9","GRIK4"
"AC090809.1","INSM1","AGAP4","LAMA5-AS1","PIK3CG","FAT3","PTPDC1",NA,NA,NA,"AC104113.1","EFCAB11"
"PLEKHA2","CELF6","IPMK","CRYBG2","TFEC","PANX1","SMPD2",NA,NA,NA,"TMEM151A","LINGO1"
"GINS4","C19orf47","RTKN2","SAA2","LINC02476","JRKL","ZNF518B",NA,NA,NA,"SLC9A7","C8orf58"
"AC064807.1","FAM78A","ADO","IL12RB1","TSPAN12","COLCA2","NOX4",NA,NA,NA,"RASGRF1","AL121845.1"
"VCPIP1","TRAF3","MCU","RAC2","IMPDH1","POU2AF1","ZNHIT6",NA,NA,NA,"DHX58","WRAP53"
"RBM12B","VAC14-AS1","AC073389.3","MBP","PTN","BUD13","ADORA2A-AS1",NA,NA,NA,"ZNF57","PDCD2L"
"SLC25A32","TRAM2-AS1","MARVELD1","AC007541.1","KDM7A","DSCAML1","PCIF1",NA,NA,NA,"DLX6","BORCS5"
"SYBU","TANC1","KAZALD1","SLC24A1","PRSS2","NLRX1","ZNF738",NA,NA,NA,"HS6ST2","THADA"
"TRPS1","PCSK1N","NEURL1","FDXACB1","GIMAP1","NECTIN1","CSF2RB",NA,NA,NA,"CCDC126","RAD51-AS1"
"AC107375.1","TMEM74B","GRK5","ARHGEF15","MSR1","DCP1B","RIOK1",NA,NA,NA,"DRAIC","AC026803.3"
"RHPN1","LINC02388","IKZF5","GUCY1B1","NUDT18","AC018653.3","OSBPL3",NA,NA,NA,"SCNN1A","FIBIN"
"ADCK5","NFKBIZ","EDRF1","TEDC1","EGR3","PHC1","CWC25",NA,NA,NA,"CYSRT1","ZNF710-AS1"
"RECQL4","LYSMD4","PPP2R2D","NFATC1","PEBP4","KLRB1","LINC01426",NA,NA,NA,"AC068473.5","GOLGA6L9"
"RFX3","IQCE","PHLDA2","CCDC96","AC107959.1","CD69","METTL22",NA,NA,NA,"ITGA2","OAZ3"
"KIAA2026","PARP8","OLFML1","LHFPL2","LOXL2","ETV6","PPM1D",NA,NA,NA,"DM1-AS","NR2C2AP"
"LURAP1L","AC008280.3","C11orf91","CD163L1","ADAM28","SOX5","CLIC3",NA,NA,NA,"MSH5","NBPF15"
"TTC39B","NHEJ1","ABTB2","CERNA2","AC069113.2","AC092747.4","SFTA1P",NA,NA,NA,"GALNT11","C11orf74"
"AL391117.1","MAATS1","SLC35C1","NUDT17","ADGRA2","ETFBKMT","OSBPL5",NA,NA,NA,"VPS37D","ARNT2"
"AL356218.2","CHRM3","MDK","AL365361.1","TACC1","IRAK4","AL021707.6",NA,NA,NA,"IL34","AL009178.2"
"FAM219A","CENPS","SPI1","AC009065.4","TTPA","VDR","AC012313.1",NA,NA,NA,"SMOX","MIR762HG"
"ZBTB5","UVSSA","PTPRJ","CRISPLD2","PREX2","TAFA2","PLK2",NA,NA,NA,"MED18","SLC25A51"
"C9orf40","DNASE1L2","LPXN","ZSCAN16","LY96","NUP107","KIF7",NA,NA,NA,"TRIM62","DCAF1"
"ECM2","VSTM4","BEST1","DUSP2","E2F5","AC025159.1","RHOXF1",NA,NA,NA,"ANKRD29","RPP40"
"CARD19","DIP2C","MTA2","ZDHHC2","GEM","PARPBP","HCP5",NA,NA,NA,"DIO2","TCF7"
"NCBP1","OTUD3","PLAAT3","IGF2-AS","CTHRC1","PRDM4","PCSK1N",NA,NA,NA,"GZMA","ILDR2"
"GABBR2","ZNF790-AS1","CDCA5","SERAC1","CCN3","BRAP","PTGIS",NA,NA,NA,"ABHD1","PACRG"
"SNX30","UBXN11","ZNRD2","AC113404.1","LINC01151","ORAI1","C1orf21",NA,NA,NA,"ZNF597","SDCBP2-AS1"
"FKBP15","USP2","CNIH2","LINC00240","FER1L6","AC079949.2","ATP11C",NA,NA,NA,"BCDIN3D","COQ6"
"AKNA","AVIL","LRFN4","TMEM191C","SLA","EP400","FAM228B",NA,NA,NA,"USP3-AS1","VTI1A"
"MRRF","TTLL7","RNF121","CPNE6","ZFAT","XPO4","AC091057.6",NA,NA,NA,"POLI","KIAA1614-AS1"
"NUP188","ZNF136","ARHGEF17","JAK2","PTP4A3","ALOX5AP","SKI",NA,NA,NA,"TRIM66","HIST1H4E"
"UCK1","SLAMF8","LRRC32","ZNF417","PUM3","N4BP2L2-IT2","CHST15",NA,NA,NA,"RASA3","SMIM6"
"SURF2","KIF3A","AP003032.1","C4B","NFIB","CDADC1","IFT57",NA,NA,NA,"KANK3","AL359555.4"
"QSOX2","CDPF1","CHORDC1","NOD2","DENND4C","GAS6-AS1","GAS2",NA,NA,NA,"PHKA1","AC096586.1"
"CCDC183","LINC02560","AMOTL1","LNCTAM34A","HACD4","PPP1R3E","USP37",NA,NA,NA,"SNX21","YARS2"
"AJM1","TMC8","ENDOD1","CCDC88C","CD72","FITM1","LINC01431",NA,NA,NA,"GMNC","SCRN3"
"ANAPC2","APLN","MTMR2","TTC23L","RMRP","TTC6","KLHDC1",NA,NA,NA,"SLC25A53","ETV2"
"NSMF","MTCL1","CARD16","LTO1","TPM2","LINC00648","SOD3",NA,NA,NA,"AC121338.2","GPR180"
"TASOR2","TMEM251","ZC3H12C","ZAP70","GLIPR2","TMEM260","CEBPA-DT",NA,NA,NA,"FBXO27","KCNMB2-AS1"
"AL157392.3","ADAT2","SIK3","KCNJ5","GLIDR","KIAA0586","ZFPM2",NA,NA,NA,"MORN1","MMP25-AS1"
"HSPA14","CC2D1B","BACE1","CXorf40A","PCSK5","PLEKHH1","PDLIM7",NA,NA,NA,"SNHG10","KIF2C"
"HSPA14","AC036176.1","USP2-AS1","APBA2","GAS1","PNMA1","NELL2",NA,NA,NA,"APOBEC3C","MAST1"
"FAM171A1","C1orf21","TMEM218","TCTE3","S1PR3","ELMSAN1","MIA",NA,NA,NA,"TBC1D2B","PACRGL"
"MRC1","ZNF594","CHEK1","FOXO4","ASPN","ZNF410","AC018647.2",NA,NA,NA,"NKX3-1","PPWD1"
"APBB1IP","EMX1","TIRAP","KIAA0040","MSANTD3","IFI27L2","FAM111A-DT",NA,NA,NA,"AC097382.3","NSUN3"
"MPP7","EFNB1","AC006064.4","AL732509.1","TNC","ANKRD9",NA,NA,NA,NA,"KIF5C","AC098487.1"
"ZEB1","CEP295","AC125494.2","ARHGAP15","TLR4","AL049840.5",NA,NA,NA,NA,"VLDLR","NR2C2"
"ZNF25","RNF169","BCL2L14","NAIF1","ANGPTL2","ADSSL1",NA,NA,NA,NA,"PRDM1","GUCY2D"
"DEPP1","USP35","AC092794.1","NANOS1","GARNL3","CLBA1",NA,NA,NA,NA,"ZNF689","ORC3"
"CCDC6","ADM5","AC008124.1","WDR35","CERCAM","AC127502.2",NA,NA,NA,NA,"AMPD3","RNASE2"
"ANK3","LINC00881","CCNT1","PARD6G-AS1","IER5L","AC091057.3",NA,NA,NA,NA,"HIVEP2","E2F8"
"SIRT1","MYL5","KMT2D","HSPA1L","LAMC3","LINC02352",NA,NA,NA,NA,"SGMS2","C1orf50"
"DDX50","SDCBP2","PRPF40B","AL592494.2","ABO","SLC12A6",NA,NA,NA,NA,"METTL6","SYNC"
"TSPAN15","C2orf69","IGFBP6","PPP1R3F","COL5A1","CCDC9B",NA,NA,NA,NA,"AHCYL2","FBXO6"
"FAM241B","SERAC1","HOXC-AS3","MIR4500HG","LHX3","TYRO3",NA,NA,NA,NA,"RUNX3","WBP11"
"NUDT13","SLC16A9","ZNF385A","ZNF700","NRARP","MYO5C",NA,NA,NA,NA,"DAAM2","PAXIP1-AS1"
"KAT6B","LINC01234","MYO1A","AC016957.2","PFKP","DENND4A",NA,NA,NA,NA,"CLDN16","AC234917.3"
"DLG5-AS1","FBXW7","USP15","TTYH3","LINC02669","IQCH-AS1",NA,NA,NA,NA,"COX10","GMPPB"
"EIF5AL1","CCDC18-AS1","HMGA2","FBLL1","TAF3","MAP2K5",NA,NA,NA,NA,"CREB3L4","NICN1"
"STAMBPL1","HAL","IKBIP","CD7","CELF2","KIF23",NA,NA,NA,NA,"TTC5","AL355538.1"
"KIF20B","TCF19","HVCN1","RASIP1","UPF2","NEO1",NA,NA,NA,NA,"ALOX12-AS1","REEP1"
"HTR7","CD300A","TMEM116","MSS51","CCDC3","IL16",NA,NA,NA,NA,"AC239800.2","TAF1A-AS1"
"ENTPD1-AS1","CASZ1","SLC8B1","CREB3L4","DCLRE1C","TMC3-AS1",NA,NA,NA,NA,"LINC01186","SNHG21"
"PI4K2A","CCDC121","LINC02826","CYP3A4","CCDC7","GDPGP1",NA,NA,NA,NA,"ABCB1","B3GNT9"
"GOLGA7B","ATP10D","ZNF605","TTC9","PALD1","ZNF774",NA,NA,NA,NA,"SCGB2A1","AC083798.2"
"SFXN3","NOS3","ZNF26","CYP39A1","UNC5B","SPATA41",NA,NA,NA,NA,"ENPEP","AC034229.4"
"PCGF6","C4orf46","AL355001.2","LINC00472","SPOCK2","POLR3K",NA,NA,NA,NA,"AL022328.3","SHROOM2"
"AL391988.1","MMP23B","LNX2","MYH7B","ACTA2","WDR90",NA,NA,NA,NA,"AC092329.4","AC012073.1"
"BAG3","THAP1","TNFSF11","SLC22A15","LDB1","TPSB2",NA,NA,NA,NA,"MID2","AC091607.2"
"WDR11","APLNR","GPALPP1","TIPIN","ADD3","AC004233.2",NA,NA,NA,NA,"FBXL22","SBF2-AS1"
"PSTK","KCNT2","LPAR6","MESP1","AFAP1L2","SNN",NA,NA,NA,NA,"KLC3","FAM13C"
"HRAS","KLHDC8B","CAB39L","RSAD2","CHST15","RRN3",NA,NA,NA,NA,"CCDC151","APTR"
"TMEM80","ZNF69","DLEU2","ARHGAP32","CTBP2","ABCC1",NA,NA,NA,NA,"FCER1A","ZNF622"
"AP006621.3","ARMH1","WDFY2","ERVK13-1","PTPRE","USP31",NA,NA,NA,NA,"AC004825.2","NRN1L"
"LSP1","IGHG4","DHRS12","ARHGAP5-AS1","VENTX","PLK1",NA,NA,NA,NA,"CNTD1","GALE"
"IGF2","ATG14","KLF5","GPR158","SPRN","IL27",NA,NA,NA,NA,"AC007848.1","BAIAP2"
"ZNF195","CDR2","TGDS","AC103691.1","TRIM22","HIRIP3",NA,NA,NA,NA,"ZNF234","C14orf93"
"TRIM21","OXNAD1","DOCK9","TRAC","CAVIN3","TBX6",NA,NA,NA,NA,"MECR","ZNF501"
"TRIM3","IL17RA","EFNB2","FAM78B","LYVE1","ZNF668",NA,NA,NA,NA,"NPL","ZNF180"
"CYP2R1","PLCB1","PARP2","ABCA10","MRVI1","HEATR3",NA,NA,NA,NA,"GPCPD1","TDRKH"
"GTF2H1","EXD3","TEP1","CLEC10A","GALNT18","CHD9",NA,NA,NA,NA,"AGTPBP1","C1orf54"
"PRMT3","CD55","AL132780.1","MADCAM1","SAA1","NUP93",NA,NA,NA,NA,"AC022101.1","KLHDC7A"
"IMMP1L","ARHGAP32","BCL2L2","AC026124.2","ZDHHC13","AC020978.5",NA,NA,NA,NA,"AC083880.1","ADAMTS9"
"MED19","TAF1","AL110292.1","FOXC1","PRR5L","ZNF23",NA,NA,NA,NA,"FBXO30","TMEM30B"
"CCDC86","DGKH","DTD2","BEX4","C11orf96","AC004943.2",NA,NA,NA,NA,"SHB","SRRM4"
"TUT1","AC084782.3","RALGAPA1","BCO2","CHST1","AC009120.2",NA,NA,NA,NA,"MFSD14C","SVIL"
"EML3","MORN4","MDGA2","MAGI2","CREB3L1","RFWD3",NA,NA,NA,NA,"ZNF273","RNASEL"
"SPINDOC","NCAPD3","VCPKMT","DGKQ","MPEG1","AC040169.1",NA,NA,NA,NA,"FLRT2","ZNF471"
"MAP4K2","BCDIN3D","DAAM1","RBM43","STX3","CTU2",NA,NA,NA,NA,"NOCT","KNSTRN"
"PPP2R5B","LBX2","ZBTB25","RAB37","MS4A6A","HIC1",NA,NA,NA,NA,"H1FX-AS1","INPP5J"
"MUS81","AC114316.1","FNTB","FGF13","MS4A7","KIAA0753",NA,NA,NA,NA,"AC005332.5","PSPN"
"SSH3","GID4","MAX","ACTR3B","CDC42BPG","C17orf100",NA,NA,NA,NA,"ZNF48","LINC00173"
"LRTOMT","PHLPP2","GPHN","ZNF846","NEAT1","DLG4",NA,NA,NA,NA,"SLC25A36","LRRC23"
"AP002381.2","NIPA1","ZFYVE26","ALG10","MALAT1","SLC25A35",NA,NA,NA,NA,"LRMDA","HIST1H2AE"
"RELT","YEATS2","EXD2","ZNF691","PACS1","TMEM220-AS1",NA,NA,NA,NA,"AL117332.1","NEK3"
"MRPL48","C2CD3","SIPA1L1","AC008966.2","CD248","CDRT4",NA,NA,NA,NA,"VPS13B","AC116667.1"
"UCP3","ZNF628","GSTZ1","TRIM32","FOLR2","RAI1",NA,NA,NA,NA,"LRAT","LINC01428"
"CLNS1A","CLEC18B","SPTLC2","LINC02762","PLEKHB1","LLGL1",NA,NA,NA,NA,"SHLD1","AC010872.2"
"INTS4","TRIM69","UBR7","RFPL3S","XRRA1","GIT1",NA,NA,NA,NA,"TRIM39","TTLL1"
"RAB30","BBC3","BTBD7","SPTY2D1OS","PRSS23","RNF135",NA,NA,NA,NA,"MCCC1","UBE2D3-AS1"
"PIWIL4","AL049795.2","WDR25","GNG12","CEP126","PEX12",NA,NA,NA,NA,"C19orf57","NANOS1"
"COLCA1","TWISTNB","AL118558.4","AC093249.6","BIRC3","MYO19",NA,NA,NA,NA,"ACTR5","DHX37"
"NKAPD1","VANGL2","PPP1R13B","LILRB2","NPAT","TADA2A",NA,NA,NA,NA,"AC007686.3","AL139099.1"
"TRAPPC4","ZNF607","NDN","KCNG1","CRYAB","P3H4",NA,NA,NA,NA,"LINC00997","UBA6-AS1"
"H2AFX","KATNA1","ARHGAP11A","AC083862.2","APOA1","GHDC",NA,NA,NA,NA,"ZSCAN25","FBXL12"
"ROBO4","SPATA2L","INO80","AC135507.1","FXYD6","AOC2",NA,NA,NA,NA,"AC090559.1","AKAP5"
"AP001783.1","CPT1B","LRRC57","TSIX","IL10RA","HOXB7",NA,NA,NA,NA,"RARRES1","ASB16-AS1"
"ERC1","FGF12","AC011330.2","AC098820.1","CD3E","FLJ45513",NA,NA,NA,NA,"POLR1B","XKR8"
"CCND2-AS1","POC1B","AP4E1","SPN","THY1","AC015813.1",NA,NA,NA,NA,"SLF1","AC011468.1"
"TIGAR","CMYA5","CYP19A1","RIMKLB","MIR100HG","GDPD1",NA,NA,NA,NA,"TAS1R3","ARF4-AS1"
"VAMP1","ENTPD1","ZNF609","AL136304.1","NRGN","METTL2A",NA,NA,NA,NA,"DNASE1L1","FBXO45"
"ZNF384","EXO1","PDCD7","LINC00847","AP000866.6","ABCA6",NA,NA,NA,NA,"PKN3","TNS2"
"CDCA3","ST6GALNAC4","HEXA-AS1","MYLIP","FEZ1","COG1",NA,NA,NA,NA,"FBXO32","AGPAT4"
"NANOG","LCORL","PTPN9","AC007996.1","ETS1","TTYH2",NA,NA,NA,NA,"TMEM9B","MIGA2"
"SLC2A3","GLDN","AEN","ZNF775","FLI1","RAC3",NA,NA,NA,NA,"AL136114.1","NOL12"
"FOXJ2","OSMR","WDR93","ZNF814","CD9","LINC00526",NA,NA,NA,NA,"PLCB2","SLC25A22"
"CLEC2D","CDK2","ARPIN","MACROD1","C3AR1","RAB12",NA,NA,NA,NA,"ZNF554","LINC01446"
"FAM234B","YY2","ZNF710","AC092354.1","CLEC4A","ZNF519",NA,NA,NA,NA,"CASKIN1","HOXA5"
"FAR2","ZNF544","PRC1","PRICKLE3","CLEC2B","EFNA2",NA,NA,NA,NA,"AP001372.2","STAT4"
"SLC2A13","C12orf4","WDR24","NOTCH2NLA","YBX3","GNG7",NA,NA,NA,NA,"C16orf46","EIF3J-DT"
"KANSL2","FAM200A","ZNF500","CEP72","DDX47","ZNF77",NA,NA,NA,NA,"HYPK","ORC5"
"NCKAP5L","AC105942.1","EEF2K","MUSTN1","MGP","RFX2",NA,NA,NA,NA,"AC012467.2","PTBP2"
"RACGAP1","DNAL4","AC009133.1","PM20D2","ARHGDIB","PRAM1",NA,NA,NA,NA,"GPKOW","NOM1"
"LIMA1","ZNF432","ZNF688","SLC22A10","RERG","ZNF266",NA,NA,NA,NA,"CD40","RASSF8-AS1"
"KRT7","SENP5","ZNF646","PIGB","LDHB","ZNF823",NA,NA,NA,NA,"TMEM270","DEPDC1"
"HOXC9","TBCEL","SHCBP1","MLH3","BCAT1","ZNF442",NA,NA,NA,NA,"AL592494.1","SPRTN"
"ANKRD52","AHCYL2","ORC6","SYT8","SSPN","ZNF564",NA,NA,NA,NA,"SRCIN1","AC105219.1"
"PAN2","CBLN4","C16orf87","POLQ","REP15","PALM3",NA,NA,NA,NA,"FANCF","SAXO2"
"RBMS2","AC145207.5","CCDC102A","AC073195.1","ZNF641","ZNF333",NA,NA,NA,NA,"CD82","AC024075.2"
"PRIM1","ADGRG1","CMTM4","PSTPIP1","ACVRL1","B3GNT3",NA,NA,NA,NA,"KLHL6-AS1","USP53"
"METTL1","RIT1","ZNF821","LRRC27","NCKAP1L","RAB3A",NA,NA,NA,NA,"LRRC69","CTAG2"
"MON2","PDE4D","CDYL2","FAT4","NDUFA4L2","AC006504.7",NA,NA,NA,NA,"TERT","ADAL"
"RXYLT1","TNXB","C16orf95","SLCO6A1","GLI1","CEP89",NA,NA,NA,NA,"AC073195.1","SULT1C2"
"ZDHHC17","GINS1","KLHDC4","FBF1","SLC16A7","THAP8",NA,NA,NA,NA,"AKR1C4","CSRNP3"
"GALNT4","MZT1","CDT1","ANO4","GLIPR1","ZNF461",NA,NA,NA,NA,"ZNF484","AL355102.4"
"ELK3","FGD6","ACSF3","VEZF1","CEP290","ZNF527",NA,NA,NA,NA,"B4GALT1-AS1","AC008264.2"
"DRAM1","TRAFD1","PITPNA-AS1","CMKLR1","DUSP6","AC006213.4",NA,NA,NA,NA,"AL162231.1","AC139887.2"
"C12orf73","DNAAF5","RILP","AC091053.1","LUM","AC006213.1",NA,NA,NA,NA,"SCGB1D2","SERHL2"
"RIC8B","CENPH","NCBP3","TTC12","DCN","FUT2",NA,NA,NA,NA,"TMEM120B","CAMSAP1"
"OAS2","ING2","AC004148.1","MAML2","AC073655.2","MAMSTR",NA,NA,NA,NA,"SERPINB9P1","PDCD4-AS1"
"TESC","RBSN","SHBG","AC060780.1","TMCC3","ALDH16A1",NA,NA,NA,NA,"SLC22A18","NPIPB4"
"SUDS3","FBXL20","ADPRM","AC012360.3","RMST","FLT3LG",NA,NA,NA,NA,"AC090912.2","ABCB7"
"PLA2G1B","ADAM17","PMP22","AL031073.2","HELLPAR","VSIG10L",NA,NA,NA,NA,"UGT1A8","MRTO4"
"RNF34","PNP","ADORA2B","ACSM5","HCFC2","ZNF83",NA,NA,NA,NA,"DET1","FES"
"KNTC1","AAAS","TVP23B","MPZ","SELPLG","ZNF71",NA,NA,NA,NA,"SWSAP1","TTC26"
"SNRNP35","PDE7A","MAPK7","SSTR5-AS1","SH2B3","ZNF805",NA,NA,NA,NA,"LINC01963","NIFK-AS1"
"DDX51","TTC30B","NEK8","DGKH","HECTD4","ZNF460-AS1",NA,NA,NA,NA,"KDM1B","ISCA2"
"IFT88","AL390728.6","RAPGEFL1","RHEX","TMEM233","ZNF550",NA,NA,NA,NA,"NDUFAF4","CRYZL1"
"MIPEP","SH3TC2","EZH1","LAG3","ZNF891","ZNF530",NA,NA,NA,NA,"TMEM187","GAREM2"
"KL","ZNF583","OSBPL7","GTF2IRD1","MPHOSPH8","ZNF134",NA,NA,NA,NA,"AL512306.2","GTF2E1"
"WBP4","FBXO48","AC018521.5","MTHFD2","LATS2","ZNF418",NA,NA,NA,NA,"APOF","POGLUT2"
"RCBTB1","SEPTIN4","UTP18","C21orf58","SACS","ZSCAN18",NA,NA,NA,NA,"FBLN7","AF279873.3"
