"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"AL122035.2","LRAT","AC007336.2","FOLH1","GCNT2","AC022784.6","AL118558.3","AC006480.2","KIAA1614-AS1"
"AC007240.3","BHMT","AC009107.2","SPATA5L1","FBXO41","RHBDL1","AL583810.1","POMZP3","RAB3C"
"AC090617.3","MT-ND4","LINC00920","DOP1A","RASL10B","MIER3","RYR3","TMEM243","PTGER2"
"ST3GAL6-AS1","MT-CO3","CDH3","C17orf53","ATP23","EDARADD","AC010809.2","AC002454.1","AL121899.1"
"OLMALINC","TTC36","FA2H","NUDT17","GORAB","C14orf28","AC039056.2","PVRIG","ADAM23"
"AC109322.2","PPARGC1B","AC004771.4","NBPF12","HECTD2",NA,"AC090510.1","PILRA","SNCAIP"
"ASTN2","LINC00944","TMEM238L","AL022328.4","AC016065.1",NA,"AC103691.2","RASA4","AC074117.1"
"CCDC138","AL359915.1","AC116407.1","CHAC2","SIGLEC9",NA,"AC116913.1","AUXG01000058.1","AL671710.1"
"ZNF337-AS1","CTH","KRT15","TMEM158","IPCEF1",NA,"ZWILCH","LINC-PINT","MICB"
"CALML6","LINC01767","AC125421.1","CHRNB1","MACROD2",NA,"AC105020.6","OR2A1-AS1","MTCL1"
"ZNF296","CLU","AC064805.1","ZSCAN22","FAM106A",NA,"NRG4","GIMAP7","AC007998.3"
"OTUD6B","CYP2B6","ST6GALNAC1","AC008875.2","OSBP2",NA,"CRABP1","ATG9B","PNPLA3"
"MSANTD1","HPD","LINC01978","P2RY13","UFSP1",NA,"SNHG21","WDR86","LHX2"
"AP000424.2","AL163051.1","AC011139.1","TTC5","PROSER1",NA,"IDH2-DT","LINC01003","OR2I1P"
"SIGLEC15","IGHG3","LINC02565","GINS2","FAM185A",NA,"HBM","AC022239.1","TNNC2"
"IRX3","MORC4","ST8SIA3","C4A","C1orf210",NA,"SRRM2-AS1","FAM86B1","PROB1"
"BFSP1","ATG10","MISP","POU2F2","HK2",NA,"AC023830.3","LPL","POLK"
"TRIM45","HSD17B13","FUT3",NA,"ZNF248",NA,"ATP2A1-AS1","RHOBTB2","IFNG"
"CTAGE9","ZNF429","EPHX3",NA,"TRNT1",NA,"ADGRG5","AC044849.1","DCLK2"
"FAM47E","AHSG","UCA1",NA,"AC011978.2",NA,"AC018557.1","FUT10","L2HGDH"
"AC008738.3","HABP2","ZNF565",NA,"NIFK-AS1",NA,"CTRB1","IDO1","NPIPB11"
"KIF23","MT-CYB","CEACAM7",NA,"AC099508.1",NA,"AC018695.8","SFRP1","AL031666.1"
"GIP","KNG1","AC115522.1",NA,"MAN1B1-DT",NA,"CDH15","AC100805.1","ZEB1-AS1"
"AC025181.2","PZP","AC011484.1",NA,"AC018816.1",NA,"EFNB3","AC104051.2","AC104825.1"
"AC091153.3","HIGD1B","SULT2B1",NA,"TMOD2",NA,"LINC00324","LACTB2-AS1","KRT20"
"FBXO5","IGHA1","PRRG2",NA,"UBAP1L",NA,"AC135178.6","ZC2HC1A","AL356599.1"
"AL357140.2","AC007114.1","KLK7",NA,"ZNF140",NA,"ZNF624","RUNX1T1","AL021368.2"
"TLL2","AGXT","KLK10",NA,"CNIH3",NA,"DRC3","GDF6","SHC3"
"AC119427.1","RSPH1","PAK5",NA,"FAM222A",NA,"AC010761.1","PKHD1L1","LYPD2"
"AC006205.2","IGKC","AL121895.2",NA,"HIST1H2BD",NA,"AC138207.4","GPIHBP1","AL132712.2"
"EDRF1-DT","HPX","AL391095.1",NA,"SLC12A9-AS1",NA,"CCL8","AL392089.1","IGSF23"
"PRUNE2","USP43","ZNF334",NA,"AC008875.2",NA,"AC022916.1","BNC2-AS1","PLK4"
