"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
NA,NA,NA,NA,NA,NA,NA,"SRD5A3",NA
NA,NA,NA,NA,NA,NA,NA,"EPHB1",NA
NA,NA,NA,NA,NA,NA,NA,"LILRA4",NA
NA,NA,NA,NA,NA,NA,NA,"NFKBIA",NA
NA,NA,NA,NA,NA,NA,NA,"AC008736.1",NA
NA,NA,NA,NA,NA,NA,NA,"TTLL10",NA
NA,NA,NA,NA,NA,NA,NA,"SPECC1",NA
NA,NA,NA,NA,NA,NA,NA,"AC020658.5",NA
NA,NA,NA,NA,NA,NA,NA,"F2RL3",NA
NA,NA,NA,NA,NA,NA,NA,"FOLR2",NA
NA,NA,NA,NA,NA,NA,NA,"TC2N",NA
NA,NA,NA,NA,NA,NA,NA,"TSR2",NA
NA,NA,NA,NA,NA,NA,NA,"TRIM14",NA
NA,NA,NA,NA,NA,NA,NA,"ITK",NA
NA,NA,NA,NA,NA,NA,NA,"VAMP2",NA
NA,NA,NA,NA,NA,NA,NA,"PDE10A",NA
NA,NA,NA,NA,NA,NA,NA,"DAD1",NA
NA,NA,NA,NA,NA,NA,NA,"C4orf48",NA
NA,NA,NA,NA,NA,NA,NA,"POU6F2",NA
NA,NA,NA,NA,NA,NA,NA,"DGKI",NA
NA,NA,NA,NA,NA,NA,NA,"BTN3A2",NA
NA,NA,NA,NA,NA,NA,NA,"MIS18A",NA
NA,NA,NA,NA,NA,NA,NA,"AC104463.2",NA
NA,NA,NA,NA,NA,NA,NA,"NSD3",NA
NA,NA,NA,NA,NA,NA,NA,"PITPNM1",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02580",NA
NA,NA,NA,NA,NA,NA,NA,"CDC26",NA
NA,NA,NA,NA,NA,NA,NA,"TTC7A",NA
NA,NA,NA,NA,NA,NA,NA,"SASH3",NA
NA,NA,NA,NA,NA,NA,NA,"NDUFA4L2",NA
NA,NA,NA,NA,NA,NA,NA,"EFCAB7",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01235",NA
NA,NA,NA,NA,NA,NA,NA,"VTI1A",NA
NA,NA,NA,NA,NA,NA,NA,"AC004223.2",NA
NA,NA,NA,NA,NA,NA,NA,"PKIG",NA
NA,NA,NA,NA,NA,NA,NA,"DVL1",NA
NA,NA,NA,NA,NA,NA,NA,"ECE1",NA
NA,NA,NA,NA,NA,NA,NA,"ATXN1L",NA
NA,NA,NA,NA,NA,NA,NA,"IL3RA",NA
NA,NA,NA,NA,NA,NA,NA,"ACTR3",NA
NA,NA,NA,NA,NA,NA,NA,"C21orf62-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"TGFBR3",NA
NA,NA,NA,NA,NA,NA,NA,"C2orf74",NA
NA,NA,NA,NA,NA,NA,NA,"EHMT1",NA
NA,NA,NA,NA,NA,NA,NA,"KANSL1",NA
NA,NA,NA,NA,NA,NA,NA,"GPR27",NA
NA,NA,NA,NA,NA,NA,NA,"RPL19",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02195",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF667",NA
NA,NA,NA,NA,NA,NA,NA,"TLK2",NA
NA,NA,NA,NA,NA,NA,NA,"GIMAP5",NA
NA,NA,NA,NA,NA,NA,NA,"TUBA1B",NA
NA,NA,NA,NA,NA,NA,NA,"AP001462.1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF793",NA
NA,NA,NA,NA,NA,NA,NA,"SSTR2",NA
NA,NA,NA,NA,NA,NA,NA,"TCF7",NA
NA,NA,NA,NA,NA,NA,NA,"VASH1",NA
NA,NA,NA,NA,NA,NA,NA,"CLK1",NA
NA,NA,NA,NA,NA,NA,NA,"FIBCD1",NA
NA,NA,NA,NA,NA,NA,NA,"MRI1",NA
NA,NA,NA,NA,NA,NA,NA,"SIRPB1",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC26",NA
NA,NA,NA,NA,NA,NA,NA,"PLPP4",NA
NA,NA,NA,NA,NA,NA,NA,"C1QTNF6",NA
NA,NA,NA,NA,NA,NA,NA,"AC069503.3",NA
NA,NA,NA,NA,NA,NA,NA,"MAP4K3-DT",NA
NA,NA,NA,NA,NA,NA,NA,"RPL29",NA
NA,NA,NA,NA,NA,NA,NA,"LRP12",NA
NA,NA,NA,NA,NA,NA,NA,"SBSPON",NA
NA,NA,NA,NA,NA,NA,NA,"PANK2",NA
NA,NA,NA,NA,NA,NA,NA,"TRAF5",NA
NA,NA,NA,NA,NA,NA,NA,"NRP2",NA
NA,NA,NA,NA,NA,NA,NA,"CEACAM3",NA
NA,NA,NA,NA,NA,NA,NA,"MYO3A",NA
NA,NA,NA,NA,NA,NA,NA,"AC006064.2",NA
NA,NA,NA,NA,NA,NA,NA,"RPL28",NA
NA,NA,NA,NA,NA,NA,NA,"ALS2",NA
NA,NA,NA,NA,NA,NA,NA,"AC009053.2",NA
NA,NA,NA,NA,NA,NA,NA,"ADPGK",NA
NA,NA,NA,NA,NA,NA,NA,"HAUS6",NA
NA,NA,NA,NA,NA,NA,NA,"TSHZ1",NA
NA,NA,NA,NA,NA,NA,NA,"BX649632.1",NA
NA,NA,NA,NA,NA,NA,NA,"AF001548.2",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01031",NA
NA,NA,NA,NA,NA,NA,NA,"IRF8",NA
NA,NA,NA,NA,NA,NA,NA,"COMP",NA
NA,NA,NA,NA,NA,NA,NA,"NLRC4",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF354A",NA
NA,NA,NA,NA,NA,NA,NA,"RBM43",NA
NA,NA,NA,NA,NA,NA,NA,"TWSG1",NA
NA,NA,NA,NA,NA,NA,NA,"AL359715.1",NA
NA,NA,NA,NA,NA,NA,NA,"U47924.3",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01477",NA
NA,NA,NA,NA,NA,NA,NA,"BIRC6",NA
NA,NA,NA,NA,NA,NA,NA,"TRPV6",NA
NA,NA,NA,NA,NA,NA,NA,"FBXL16",NA
NA,NA,NA,NA,NA,NA,NA,"ERLIN2",NA
NA,NA,NA,NA,NA,NA,NA,"DPEP2",NA
NA,NA,NA,NA,NA,NA,NA,"IL6ST",NA
NA,NA,NA,NA,NA,NA,NA,"DOC2A",NA
NA,NA,NA,NA,NA,NA,NA,"RBM17",NA
NA,NA,NA,NA,NA,NA,NA,"PHC1",NA
NA,NA,NA,NA,NA,NA,NA,"SPAG4",NA
NA,NA,NA,NA,NA,NA,NA,"GSDMC",NA
NA,NA,NA,NA,NA,NA,NA,"NHLRC2",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF267",NA
NA,NA,NA,NA,NA,NA,NA,"SLC39A13",NA
NA,NA,NA,NA,NA,NA,NA,"MTURN",NA
NA,NA,NA,NA,NA,NA,NA,"AL139095.4",NA
NA,NA,NA,NA,NA,NA,NA,"IGHD",NA
NA,NA,NA,NA,NA,NA,NA,"RPL39",NA
NA,NA,NA,NA,NA,NA,NA,"LPAR6",NA
NA,NA,NA,NA,NA,NA,NA,"EGFL8",NA
NA,NA,NA,NA,NA,NA,NA,"LINC00574",NA
NA,NA,NA,NA,NA,NA,NA,"KAT6A",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF503-AS2",NA
NA,NA,NA,NA,NA,NA,NA,"TSPAN17",NA
NA,NA,NA,NA,NA,NA,NA,"MUS81",NA
NA,NA,NA,NA,NA,NA,NA,"FAM149B1",NA
NA,NA,NA,NA,NA,NA,NA,"AC025265.1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF581",NA
NA,NA,NA,NA,NA,NA,NA,"EFCAB12",NA
NA,NA,NA,NA,NA,NA,NA,"AP003110.1",NA
NA,NA,NA,NA,NA,NA,NA,"PBXIP1",NA
NA,NA,NA,NA,NA,NA,NA,"TENT2",NA
NA,NA,NA,NA,NA,NA,NA,"NCSTN",NA
NA,NA,NA,NA,NA,NA,NA,"MORF4L1",NA
NA,NA,NA,NA,NA,NA,NA,"AC068790.9",NA
NA,NA,NA,NA,NA,NA,NA,"AC092803.1",NA
NA,NA,NA,NA,NA,NA,NA,"TYRO3",NA
NA,NA,NA,NA,NA,NA,NA,"AC027097.1",NA
NA,NA,NA,NA,NA,NA,NA,"TTF1",NA
NA,NA,NA,NA,NA,NA,NA,"EIF4E3",NA
NA,NA,NA,NA,NA,NA,NA,"TINAG",NA
NA,NA,NA,NA,NA,NA,NA,"PITX3",NA
NA,NA,NA,NA,NA,NA,NA,"RPL31",NA
NA,NA,NA,NA,NA,NA,NA,"RFC3",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC3",NA
NA,NA,NA,NA,NA,NA,NA,"STK32C",NA
NA,NA,NA,NA,NA,NA,NA,"RNF44",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02139",NA
NA,NA,NA,NA,NA,NA,NA,"RACK1",NA
NA,NA,NA,NA,NA,NA,NA,"KDM1A",NA
NA,NA,NA,NA,NA,NA,NA,"RPL6",NA
NA,NA,NA,NA,NA,NA,NA,"Z99289.2",NA
NA,NA,NA,NA,NA,NA,NA,"MXRA8",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF513",NA
NA,NA,NA,NA,NA,NA,NA,"PTTG1IP",NA
NA,NA,NA,NA,NA,NA,NA,"KRT4",NA
NA,NA,NA,NA,NA,NA,NA,"LY75",NA
NA,NA,NA,NA,NA,NA,NA,"ARL2BP",NA
NA,NA,NA,NA,NA,NA,NA,"PLAGL1",NA
NA,NA,NA,NA,NA,NA,NA,"COX7A2L",NA
NA,NA,NA,NA,NA,NA,NA,"SPTLC1",NA
NA,NA,NA,NA,NA,NA,NA,"KLHL4",NA
NA,NA,NA,NA,NA,NA,NA,"OSGEPL1",NA
NA,NA,NA,NA,NA,NA,NA,"LEF1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"SSH1",NA
NA,NA,NA,NA,NA,NA,NA,"AC025031.1",NA
NA,NA,NA,NA,NA,NA,NA,"ISY1",NA
NA,NA,NA,NA,NA,NA,NA,"JHY",NA
NA,NA,NA,NA,NA,NA,NA,"LRRFIP1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF783",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02649",NA
NA,NA,NA,NA,NA,NA,NA,"STAM",NA
NA,NA,NA,NA,NA,NA,NA,"TRIM41",NA
NA,NA,NA,NA,NA,NA,NA,"AC090559.1",NA
NA,NA,NA,NA,NA,NA,NA,"AC008897.3",NA
NA,NA,NA,NA,NA,NA,NA,"RNF144B",NA
NA,NA,NA,NA,NA,NA,NA,"OSCAR",NA
NA,NA,NA,NA,NA,NA,NA,"NSUN3",NA
NA,NA,NA,NA,NA,NA,NA,"HRH2",NA
NA,NA,NA,NA,NA,NA,NA,"SYT2",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPA1",NA
NA,NA,NA,NA,NA,NA,NA,"LGMN",NA
NA,NA,NA,NA,NA,NA,NA,"IER2",NA
NA,NA,NA,NA,NA,NA,NA,"PTGDS",NA
NA,NA,NA,NA,NA,NA,NA,"HAVCR2",NA
NA,NA,NA,NA,NA,NA,NA,"ADAM10",NA
NA,NA,NA,NA,NA,NA,NA,"TAF4B",NA
NA,NA,NA,NA,NA,NA,NA,"CBX6",NA
NA,NA,NA,NA,NA,NA,NA,"ICE1",NA
NA,NA,NA,NA,NA,NA,NA,"SH3BGRL3",NA
NA,NA,NA,NA,NA,NA,NA,"LCN6",NA
NA,NA,NA,NA,NA,NA,NA,"PHF13",NA
NA,NA,NA,NA,NA,NA,NA,"PLEKHG4",NA
NA,NA,NA,NA,NA,NA,NA,"AL138756.1",NA
NA,NA,NA,NA,NA,NA,NA,"CYB5R2",NA
NA,NA,NA,NA,NA,NA,NA,"KLHL23",NA
NA,NA,NA,NA,NA,NA,NA,"AC018638.7",NA
NA,NA,NA,NA,NA,NA,NA,"GREB1",NA
NA,NA,NA,NA,NA,NA,NA,"LRRC71",NA
NA,NA,NA,NA,NA,NA,NA,"ASCL1",NA
NA,NA,NA,NA,NA,NA,NA,"LIPT2",NA
NA,NA,NA,NA,NA,NA,NA,"AL031056.2",NA
NA,NA,NA,NA,NA,NA,NA,"CBARP",NA
NA,NA,NA,NA,NA,NA,NA,"DDX58",NA
NA,NA,NA,NA,NA,NA,NA,"BACE2",NA
NA,NA,NA,NA,NA,NA,NA,"DRAM2",NA
NA,NA,NA,NA,NA,NA,NA,"SLC7A1",NA
NA,NA,NA,NA,NA,NA,NA,"AL353751.1",NA
NA,NA,NA,NA,NA,NA,NA,"APP",NA
NA,NA,NA,NA,NA,NA,NA,"TMEM159",NA
NA,NA,NA,NA,NA,NA,NA,"PCDH19",NA
NA,NA,NA,NA,NA,NA,NA,"SCN2B",NA
NA,NA,NA,NA,NA,NA,NA,"NAAA",NA
NA,NA,NA,NA,NA,NA,NA,"CLDN5",NA
NA,NA,NA,NA,NA,NA,NA,"VOPP1",NA
NA,NA,NA,NA,NA,NA,NA,"MLLT10",NA
NA,NA,NA,NA,NA,NA,NA,"NOG",NA
NA,NA,NA,NA,NA,NA,NA,"FAM174A",NA
NA,NA,NA,NA,NA,NA,NA,"SCNM1",NA
NA,NA,NA,NA,NA,NA,NA,"CACNA1D",NA
NA,NA,NA,NA,NA,NA,NA,"RAB2B",NA
NA,NA,NA,NA,NA,NA,NA,"SRGAP1",NA
NA,NA,NA,NA,NA,NA,NA,"FCGR1B",NA
NA,NA,NA,NA,NA,NA,NA,"FOSL2",NA
NA,NA,NA,NA,NA,NA,NA,"AC022035.1",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01644",NA
NA,NA,NA,NA,NA,NA,NA,"RPSA",NA
NA,NA,NA,NA,NA,NA,NA,"SNAPC3",NA
NA,NA,NA,NA,NA,NA,NA,"STEAP2",NA
NA,NA,NA,NA,NA,NA,NA,"TPK1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF44",NA
NA,NA,NA,NA,NA,NA,NA,"QRFPR",NA
NA,NA,NA,NA,NA,NA,NA,"VWF",NA
NA,NA,NA,NA,NA,NA,NA,"FAM234B",NA
NA,NA,NA,NA,NA,NA,NA,"RPLP0",NA
NA,NA,NA,NA,NA,NA,NA,"LDLRAD3",NA
NA,NA,NA,NA,NA,NA,NA,"LURAP1L",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01187",NA
NA,NA,NA,NA,NA,NA,NA,"ITGB3BP",NA
NA,NA,NA,NA,NA,NA,NA,"DYNC1I2",NA
NA,NA,NA,NA,NA,NA,NA,"IGKC",NA
NA,NA,NA,NA,NA,NA,NA,"CD81-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"SPHK1",NA
NA,NA,NA,NA,NA,NA,NA,"STK33",NA
NA,NA,NA,NA,NA,NA,NA,"CYB561A3",NA
NA,NA,NA,NA,NA,NA,NA,"MEAK7",NA
NA,NA,NA,NA,NA,NA,NA,"DCTN6",NA
NA,NA,NA,NA,NA,NA,NA,"TBC1D25",NA
NA,NA,NA,NA,NA,NA,NA,"B4GALNT4",NA
NA,NA,NA,NA,NA,NA,NA,"ZFP37",NA
NA,NA,NA,NA,NA,NA,NA,"EGLN3",NA
NA,NA,NA,NA,NA,NA,NA,"EXOSC9",NA
NA,NA,NA,NA,NA,NA,NA,"FAM13A-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"PDGFA",NA
NA,NA,NA,NA,NA,NA,NA,"TRIM47",NA
NA,NA,NA,NA,NA,NA,NA,"C1orf198",NA
NA,NA,NA,NA,NA,NA,NA,"HIST1H3D",NA
NA,NA,NA,NA,NA,NA,NA,"MED14",NA
NA,NA,NA,NA,NA,NA,NA,"CCND3",NA
NA,NA,NA,NA,NA,NA,NA,"VPS33B",NA
NA,NA,NA,NA,NA,NA,NA,"B3GALNT1",NA
NA,NA,NA,NA,NA,NA,NA,"AP001057.1",NA
NA,NA,NA,NA,NA,NA,NA,"AL161935.1",NA
NA,NA,NA,NA,NA,NA,NA,"SPC24",NA
NA,NA,NA,NA,NA,NA,NA,"UBE2H",NA
NA,NA,NA,NA,NA,NA,NA,"NAP1L1",NA
NA,NA,NA,NA,NA,NA,NA,"EP300",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC136",NA
NA,NA,NA,NA,NA,NA,NA,"SRSF12",NA
NA,NA,NA,NA,NA,NA,NA,"TFPI2",NA
NA,NA,NA,NA,NA,NA,NA,"AKTIP",NA
NA,NA,NA,NA,NA,NA,NA,"OAZ1",NA
NA,NA,NA,NA,NA,NA,NA,"BX293535.1",NA
NA,NA,NA,NA,NA,NA,NA,"METTL3",NA
NA,NA,NA,NA,NA,NA,NA,"FGFBP2",NA
NA,NA,NA,NA,NA,NA,NA,"ZBTB47",NA
NA,NA,NA,NA,NA,NA,NA,"C1GALT1C1L",NA
NA,NA,NA,NA,NA,NA,NA,"CALU",NA
NA,NA,NA,NA,NA,NA,NA,"ATP2A1",NA
NA,NA,NA,NA,NA,NA,NA,"Z98200.1",NA
NA,NA,NA,NA,NA,NA,NA,"DOCK6",NA
NA,NA,NA,NA,NA,NA,NA,"RHOA",NA
NA,NA,NA,NA,NA,NA,NA,"RBM5",NA
NA,NA,NA,NA,NA,NA,NA,"PLCD1",NA
NA,NA,NA,NA,NA,NA,NA,"PGM5-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"SRSF5",NA
NA,NA,NA,NA,NA,NA,NA,"SUGP2",NA
NA,NA,NA,NA,NA,NA,NA,"SPDYA",NA
NA,NA,NA,NA,NA,NA,NA,"SLC36A1",NA
NA,NA,NA,NA,NA,NA,NA,"AC027312.1",NA
NA,NA,NA,NA,NA,NA,NA,"LTBP4",NA
NA,NA,NA,NA,NA,NA,NA,"FBXO48",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01558",NA
NA,NA,NA,NA,NA,NA,NA,"EFHB",NA
NA,NA,NA,NA,NA,NA,NA,"RNF11",NA
NA,NA,NA,NA,NA,NA,NA,"AC093673.1",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF280D",NA
NA,NA,NA,NA,NA,NA,NA,"KLHL28",NA
NA,NA,NA,NA,NA,NA,NA,"MKRN1",NA
NA,NA,NA,NA,NA,NA,NA,"TUG1",NA
NA,NA,NA,NA,NA,NA,NA,"NOP53",NA
NA,NA,NA,NA,NA,NA,NA,"AC239803.1",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01876",NA
NA,NA,NA,NA,NA,NA,NA,"THBS4",NA
NA,NA,NA,NA,NA,NA,NA,"MZT1",NA
NA,NA,NA,NA,NA,NA,NA,"SSX1",NA
NA,NA,NA,NA,NA,NA,NA,"PCAT19",NA
NA,NA,NA,NA,NA,NA,NA,"NACA",NA
NA,NA,NA,NA,NA,NA,NA,"MED28",NA
NA,NA,NA,NA,NA,NA,NA,"SYNRG",NA
NA,NA,NA,NA,NA,NA,NA,"CDC45",NA
NA,NA,NA,NA,NA,NA,NA,"FAM133B",NA
NA,NA,NA,NA,NA,NA,NA,"RPL35",NA
NA,NA,NA,NA,NA,NA,NA,"USP18",NA
NA,NA,NA,NA,NA,NA,NA,"UIMC1",NA
NA,NA,NA,NA,NA,NA,NA,"TRANK1",NA
NA,NA,NA,NA,NA,NA,NA,"NXT1",NA
NA,NA,NA,NA,NA,NA,NA,"KLHL14",NA
NA,NA,NA,NA,NA,NA,NA,"IRF2BPL",NA
NA,NA,NA,NA,NA,NA,NA,"AC156455.1",NA
NA,NA,NA,NA,NA,NA,NA,"MAGED1",NA
NA,NA,NA,NA,NA,NA,NA,"CTR9",NA
NA,NA,NA,NA,NA,NA,NA,"TFAP2E",NA
NA,NA,NA,NA,NA,NA,NA,"ABL1",NA
NA,NA,NA,NA,NA,NA,NA,"AC147651.4",NA
NA,NA,NA,NA,NA,NA,NA,"IFFO1",NA
NA,NA,NA,NA,NA,NA,NA,"IQCE",NA
NA,NA,NA,NA,NA,NA,NA,"TAZ",NA
NA,NA,NA,NA,NA,NA,NA,"GPR156",NA
NA,NA,NA,NA,NA,NA,NA,"C7",NA
NA,NA,NA,NA,NA,NA,NA,"CDK2AP1",NA
NA,NA,NA,NA,NA,NA,NA,"CHST1",NA
NA,NA,NA,NA,NA,NA,NA,"E2F4",NA
NA,NA,NA,NA,NA,NA,NA,"GPR3",NA
NA,NA,NA,NA,NA,NA,NA,"AC067945.4",NA
NA,NA,NA,NA,NA,NA,NA,"BUB1B",NA
NA,NA,NA,NA,NA,NA,NA,"AC034231.1",NA
NA,NA,NA,NA,NA,NA,NA,"YWHAB",NA
NA,NA,NA,NA,NA,NA,NA,"BMPR2",NA
NA,NA,NA,NA,NA,NA,NA,"ISCU",NA
NA,NA,NA,NA,NA,NA,NA,"DCDC2C",NA
NA,NA,NA,NA,NA,NA,NA,"LDLRAP1",NA
NA,NA,NA,NA,NA,NA,NA,"UBA6",NA
NA,NA,NA,NA,NA,NA,NA,"AL359881.1",NA
NA,NA,NA,NA,NA,NA,NA,"SMC5",NA
NA,NA,NA,NA,NA,NA,NA,"FXYD7",NA
NA,NA,NA,NA,NA,NA,NA,"MRPS6",NA
NA,NA,NA,NA,NA,NA,NA,"B3GALT5",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF761",NA
NA,NA,NA,NA,NA,NA,NA,"ZNF205",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01556",NA
NA,NA,NA,NA,NA,NA,NA,"FLRT2",NA
NA,NA,NA,NA,NA,NA,NA,"JAK3",NA
NA,NA,NA,NA,NA,NA,NA,"RCE1",NA
NA,NA,NA,NA,NA,NA,NA,"GATA5",NA
NA,NA,NA,NA,NA,NA,NA,"MAGEL2",NA
NA,NA,NA,NA,NA,NA,NA,"LRP10",NA
NA,NA,NA,NA,NA,NA,NA,"AC005695.3",NA
NA,NA,NA,NA,NA,NA,NA,"KRCC1",NA
NA,NA,NA,NA,NA,NA,NA,"AL137246.1",NA
NA,NA,NA,NA,NA,NA,NA,"MAP3K5",NA
NA,NA,NA,NA,NA,NA,NA,"LIMD2",NA
NA,NA,NA,NA,NA,NA,NA,"AC004947.1",NA
NA,NA,NA,NA,NA,NA,NA,"CDCA5",NA
NA,NA,NA,NA,NA,NA,NA,"BMERB1",NA
NA,NA,NA,NA,NA,NA,NA,"IGBP1",NA
NA,NA,NA,NA,NA,NA,NA,"PEAK3",NA
NA,NA,NA,NA,NA,NA,NA,"AC025857.2",NA
NA,NA,NA,NA,NA,NA,NA,"ZKSCAN4",NA
NA,NA,NA,NA,NA,NA,NA,"NIBAN1",NA
NA,NA,NA,NA,NA,NA,NA,"CSRNP2",NA
NA,NA,NA,NA,NA,NA,NA,"RNF39",NA
NA,NA,NA,NA,NA,NA,NA,"CACNA1C-AS2",NA
NA,NA,NA,NA,NA,NA,NA,"SELENOK",NA
NA,NA,NA,NA,NA,NA,NA,"C12orf42",NA
NA,NA,NA,NA,NA,NA,NA,"TAFA3",NA
NA,NA,NA,NA,NA,NA,NA,"CPE",NA
NA,NA,NA,NA,NA,NA,NA,"PLSCR1",NA
NA,NA,NA,NA,NA,NA,NA,"HGSNAT",NA
NA,NA,NA,NA,NA,NA,NA,"MGST3",NA
NA,NA,NA,NA,NA,NA,NA,"HSPA6",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC173",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02656",NA
NA,NA,NA,NA,NA,NA,NA,"ELL",NA
NA,NA,NA,NA,NA,NA,NA,"NECAB2",NA
NA,NA,NA,NA,NA,NA,NA,"XYLT2",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02739",NA
NA,NA,NA,NA,NA,NA,NA,"MLH1",NA
NA,NA,NA,NA,NA,NA,NA,"DICER1-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"CCKBR",NA
NA,NA,NA,NA,NA,NA,NA,"ASTN1",NA
NA,NA,NA,NA,NA,NA,NA,"FGFR2",NA
NA,NA,NA,NA,NA,NA,NA,"DIO3OS",NA
NA,NA,NA,NA,NA,NA,NA,"VEGFA",NA
NA,NA,NA,NA,NA,NA,NA,"CCDC183-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"PHKA1",NA
NA,NA,NA,NA,NA,NA,NA,"MBNL1",NA
NA,NA,NA,NA,NA,NA,NA,"HMGN2",NA
NA,NA,NA,NA,NA,NA,NA,"NCDN",NA
NA,NA,NA,NA,NA,NA,NA,"HLA-DRB5",NA
NA,NA,NA,NA,NA,NA,NA,"ITGA9",NA
NA,NA,NA,NA,NA,NA,NA,"ANKRD65",NA
NA,NA,NA,NA,NA,NA,NA,"RPS15",NA
NA,NA,NA,NA,NA,NA,NA,"NLRC5",NA
NA,NA,NA,NA,NA,NA,NA,"DSCC1",NA
NA,NA,NA,NA,NA,NA,NA,"RANBP6",NA
NA,NA,NA,NA,NA,NA,NA,"UPK1B",NA
NA,NA,NA,NA,NA,NA,NA,"CST3",NA
NA,NA,NA,NA,NA,NA,NA,"C3orf62",NA
NA,NA,NA,NA,NA,NA,NA,"ZKSCAN5",NA
NA,NA,NA,NA,NA,NA,NA,"MDS2",NA
NA,NA,NA,NA,NA,NA,NA,"ERCC6L2",NA
NA,NA,NA,NA,NA,NA,NA,"GGT5",NA
NA,NA,NA,NA,NA,NA,NA,"TFAM",NA
NA,NA,NA,NA,NA,NA,NA,"ZCRB1",NA
NA,NA,NA,NA,NA,NA,NA,"CHPF2",NA
NA,NA,NA,NA,NA,NA,NA,"PRELP",NA
NA,NA,NA,NA,NA,NA,NA,"ACIN1",NA
NA,NA,NA,NA,NA,NA,NA,"LINC02604",NA
NA,NA,NA,NA,NA,NA,NA,"APC",NA
NA,NA,NA,NA,NA,NA,NA,"ASB8",NA
NA,NA,NA,NA,NA,NA,NA,"C10orf95",NA
NA,NA,NA,NA,NA,NA,NA,"ARAP1",NA
NA,NA,NA,NA,NA,NA,NA,"KAZALD1",NA
NA,NA,NA,NA,NA,NA,NA,"SPACA3",NA
NA,NA,NA,NA,NA,NA,NA,"THOC2",NA
NA,NA,NA,NA,NA,NA,NA,"TUBD1",NA
NA,NA,NA,NA,NA,NA,NA,"HNRNPF",NA
NA,NA,NA,NA,NA,NA,NA,"VENTX",NA
NA,NA,NA,NA,NA,NA,NA,"AL109614.1",NA
NA,NA,NA,NA,NA,NA,NA,"TMEM268",NA
NA,NA,NA,NA,NA,NA,NA,"LINC01422",NA
NA,NA,NA,NA,NA,NA,NA,"AL645940.1",NA
NA,NA,NA,NA,NA,NA,NA,"RCOR1",NA
NA,NA,NA,NA,NA,NA,NA,"CAP1",NA
NA,NA,NA,NA,NA,NA,NA,"PBDC1",NA
NA,NA,NA,NA,NA,NA,NA,"CRTAM",NA
NA,NA,NA,NA,NA,NA,NA,"TBC1D22A",NA
NA,NA,NA,NA,NA,NA,NA,"RNF220",NA
NA,NA,NA,NA,NA,NA,NA,"NLRP1",NA
NA,NA,NA,NA,NA,NA,NA,"HDDC3",NA
NA,NA,NA,NA,NA,NA,NA,"AC010331.1",NA
NA,NA,NA,NA,NA,NA,NA,"SNUPN",NA
NA,NA,NA,NA,NA,NA,NA,"AC027601.1",NA
NA,NA,NA,NA,NA,NA,NA,"RAMP3",NA
NA,NA,NA,NA,NA,NA,NA,"RCN3",NA
NA,NA,NA,NA,NA,NA,NA,"H2AFV",NA
NA,NA,NA,NA,NA,NA,NA,"EME2",NA
NA,NA,NA,NA,NA,NA,NA,"LRRN3",NA
NA,NA,NA,NA,NA,NA,NA,"PKM",NA
NA,NA,NA,NA,NA,NA,NA,"IFFO2",NA
NA,NA,NA,NA,NA,NA,NA,"PTGER2",NA
NA,NA,NA,NA,NA,NA,NA,"L3MBTL4-AS1",NA
NA,NA,NA,NA,NA,NA,NA,"CFAP36",NA
