"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"CRIM1","BGLAP","ARHGEF11","THRB","PCSK9","TLR5","TMEM18","MAP4K3","AL513217.1","OTUD7B","VAMP4","ANGPTL6","CHAF1A","OGFRL1","EEF1AKMT3","NRN1L","ICE1","RTL5","AC005523.2","MMP25-AS1","ZNF609","DDHD1","URB2","MSH6","CYB5R1"
"NDUFAF7","C1orf226","USP21","CCR5","LINC01767","C1orf198","TRIB2","AC079807.1","RCOR3","AC244033.2","KLHL20","ZNF136","ZNF439","FAM78A","ATR","CPNE7","SNX13","USP45","EMB","SNTB2","BBS12","GPN2","SDCCAG8","PNPT1","SOX13"
"HNRNPLL","GORAB","ADAMTS4","FAM107A","MYSM1","ZNF672","CEBPZ","CFAP36","TATDN3","ANP32E","TOR3A","AC007786.1","SYDE1","RILPL2","C2orf49","AC005726.4","NUDT1","CEP44","CLEC10A","TP53BP1","RNF146","RILPL2","LINC01871","AC016747.1","RAB29"
"MORN2","ABL2","AL359541.1","C3orf14","ITGB3BP","HS1BP3-IT1","AC006369.1","PEX13","CENPF","BNIPL","RGSL1","ZNF585A","ZNF529-AS1","IL16","MMP25-AS1","ARHGAP27","REV1","PMP22","MGA","KDM4B","ATAD2B","SLC12A6","DNAJC27-AS1","GNLY","SLC41A1"
"AC010883.3","XPR1","CD247","GPR27","RAVER2","WDCP","HNRNPLL","C2orf74","SLC30A10","LYSMD1","NPL","ANKEF1","AC092306.1","AP002748.4","IPP","NDC80","CWC22","ICOSLG","ZNF449","MIATNB","AC026304.1","PTPRB","CENPA","EIF2AK3","PLXNA2"
"THADA","C1orf21","ADCY10","CBLB","AC135803.1","MPV17","CFAP36","DYSF","HLX","PIP5K1A","ELF3","AL121845.4","AC022150.4","ADCY6","CFP","AC006238.1","ESM1","FGD6","MRPL39","ITK","CHSY1","C2CD2L","ABHD1","SEMA4C","GPATCH2"
"CAMKMT","CDC73","AL023755.1","MCM2","MIGA1","ZNF512","FANCL","POLR1A","DISP1","POGZ","CHI3L1","GATD3A","ZNF845","ALOX12-AS1","IL15RA","TUBB6","NHEJ1","MMRN1","SERPINI1","CDCA7L","ZBTB40","SPIN2B","RMDN2","GCC2","CNIH3"
"AC009236.1","UBE2T","FMO4","PXYLP1","SSX2IP","TRMT61B","USP34","CHMP3","NVL","TUFT1","CHIT1","KANTR","DZANK1","TIRAP","KIAA0100","KANK3","ZBTB5","GIMAP2","AL035681.1","AL355353.1","AC112220.2","CLBA1","MORN2","IL1RN","OBSCN"
"ASB3","RAB29","EEF1AKNMT","TM4SF1-AS1","TGFBR3","NLRC4","NAGK","THORLNC","OBSCN","UBAP2L","TMEM81","TOE1","MAP3K7CL","ARHGAP26","TNFRSF10D","ZNF875","IRF2BPL","TM4SF1-AS1","BCL9L","LRTOMT","RAB11FIP2","ZNF395","OXER1","PAX8-AS1","C1orf198"
"MDH1","TRAF3IP3","DARS2","SUCNR1","BTBD8","FAM98A","MCEE","FMNL2","SPRTN","DCST1-AS1","NUAK2","CHML","BACH1-IT1","IPP","TMEM128","ZNF569","PIM2","ATP23","ZNF407","EIF3C","AP001372.2","FUNDC1","CAMKMT","STAM2","AL445524.1"
"VPS54","DUSP10","SEC16B","LXN","GLMN","TMEM178A","BOLA3","TANK","MAP10","AL353807.5","FCAMR","AC034236.2","CBR3","LINC01806","MIEF2","IRGQ","METTL22","INTS2","RILPL2","MYCBP2","DENND6B","CDR2","LINC02245","BAZ2B","GNG4"
"SERTAD2","C1orf131","RASAL2","LINC02028","MTF2","DYNC2LI1","MRPL53","CERS6","ZNF692","KHDC4","TRAF5","AGAP5","PHEX","CCM2L","DENND6B","SLPI","RPS6KC1","CTU2","MT1F","CLEC16A","HCST","TMEM164","PLEK","GCA","CEP170"
"LINC02245","CHRM3-AS2","IER5","WDR53","CCDC18","SOCS5","ANKRD23","PPIG","EIPR1","ACKR1","OBSCN","CDCA4","AC112496.1","STARD3NL","DNAL4","PAXBP1-AS1","TIMELESS","SLC51B","IDH1-AS1","KATNB1","POLR3F","MAD2L1BP","GFPT1","DHRS9","SH3BP5L"
"AAK1","ZNF672","NPL","FBXO45","CCDC18-AS1","PPP1R21","MITD1","AC007405.3","LDAH","AL139011.1","TRIM11","CATIP-AS1","GLOD5","TBC1D16","TBX6","DGCR6","TMEM209","KIAA0586","SMARCAL1","LINC01003","BTRC","ARL4C","NFU1","ZNF385B","CMPK2"
"PAIP2B","CMPK2","C1orf53","S100P","AL109613.1","EML6","IL1R2","METAP1D","DNAJC27-AS1","LY9","ABCB10","METTL6","DOCK11","TMEM128","SIX1","GNB1L","FAM149A","PAQR3","RBM4B","ORC5","MEX3D","COQ7","SNRNP27","NABP1","KLF11"
"SLC4A5","CENPO","KLHL12","PACRGL","SLC44A3","PNPT1","MCM6","ANKRD44","RAB10","RGS5","PGBD5","ZNF554","ELF4","GPR157","IFRD1","DDTL","INVS","GCNT3","TYW5","POMT1","MAN1C1","HSD11B1","RAB11FIP5","HECW2","TP53I3"
"RTKN","ASXL2","PLEKHA6","ZCCHC4","AC093157.1","PELI1","KYNU","MOB4","SLC30A6","METTL18","EXOC8","AL118558.3","CASP10","AC026304.1","LINC01270","IL2RB",NA,"AL441883.1","EXOG","PPP1R15A","CABLES1","RTN4RL2","TMEM150A","ANKRD44","ITSN2"
