"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"LPP","IFI6","CCT2",NA,"PIEZO1","AP003119.1",NA,"AGPAT1","MFN2","AQP3","SCYL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGGBP1",NA,"ZNF280D"
"RWDD1","DGCR11","DNAJA2",NA,"PNPLA7","EVPLL",NA,"SMCO4","TBC1D2","P2RX4","AKIRIN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRAPPC13",NA,"TSNAX"
"SH3BP5","KCNK1","DNAJB2",NA,"FGFR1OP","FXN",NA,"TIPRL","AC004241.3","HLA-DPA1","RPL11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ORAI2",NA,"NCKAP1"
"PICALM","PIH1D1","ARF5",NA,"COL7A1","DUSP9",NA,"HIGD1B","SFXN1","MAP2K3","CALM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMD3",NA,"SUSD1"
"FASTK","AC072054.1","AFDN",NA,"PIGN","HELLPAR",NA,"JSRP1","PANK1","HNRNPR","NDRG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPY19L4",NA,"MDFIC"
"AC104170.1","NME4","TBC1D20",NA,"TIGD6","MOK",NA,"ATP6V0B","AP2A2","SLC25A42","S100A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEPTIN9",NA,"FUS"
"TMEM147","THAP11","PPFIBP2",NA,"DGKG","WDR55",NA,"PCNA","SAMD10","IGFBP4","EBPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRODH2",NA,"SSBP4"
"Z92544.2","AL353803.5","DNAJC12",NA,"HSPA4","FBXO21",NA,"SMUG1","NCOA7","ST3GAL2","HMOX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM68",NA,"RSPO2"
"LTF","BAIAP2L1","HTATIP2",NA,"RNF26","MYL4",NA,"ANKHD1","EXOSC2","MRPL11","SLC17A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRCC",NA,"AFF4"
"TSPEAR-AS1","FAM160A2","AVEN",NA,"CP","IDH3B",NA,"EXOSC6","NOS1AP","NACC1","TERF2IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TFG",NA,"PTRH2"
"CBR3-AS1","MRPS26","HEIH",NA,"HSPA4L","AC022762.2",NA,"CFHR5","AC092368.3","GOLGB1","PUM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP006565.1",NA,"ITGA7"
"GBA","ERH","CIR1",NA,"PHF20","TMEM222",NA,"PITHD1","DMC1","SLC17A3","ATP6V0E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THNSL2",NA,"TSN"
"PPP1R9B","UTP11","MRPL36",NA,"CCDC183","AC073140.1",NA,"GRWD1","LRRC27","CAVIN2","TXNDC11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMG7",NA,"UNC93A"
"AL135924.2","GIGYF1","TUBB2A",NA,"KCTD17","STAT5B",NA,"OS9","SLC31A2","LGALS8","ARL8B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCL28",NA,"C4orf33"
"AC007620.2","TOR4A","SS18L2",NA,"BMPR1A","TMEM171",NA,"LSM5","BCAS2","UBL5","MARCH7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBE1",NA,"PCNA"
"AC012360.2","PROSER3","AGGF1",NA,"TST","NUDT8",NA,"AP003068.1","VCAN","MCFD2","RCBTB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WASHC3",NA,"SMPDL3A"
"LZTS2","CRIPT","MRPL22",NA,"PPP1R7","COPRS",NA,"IGF2-AS","YES1","GTF2B","BET1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGK1",NA,"MYH14"
"COL4A4","GAPDH","NUDT5",NA,"ARMC1","CYP7B1",NA,"IL3RA","C11orf68","DDN-AS1","SLC29A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDK10",NA,"PECAM1"
"AL359198.1","LINC00261","COMMD1",NA,"PXYLP1","PNRC2",NA,"SNX25","ISCU","ELAC2","SCLY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FMR1",NA,"NOSIP"
"GTF2H4","DNAJC30","DCTPP1",NA,"GPRIN1","BAIAP2",NA,"PELP1","MANBAL","BCR","HSD17B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KANK1",NA,"SS18"
"PDXK","AC004556.3","EDC4",NA,"ENOPH1","CDC6",NA,"ZNF93","TRIM16","SSB","CHP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC010997.5",NA,"RB1CC1"
"KCNJ14","ZKSCAN2-DT","GDE1",NA,"FASN","DNAJB9",NA,"ANAPC5","COL6A3","YIF1B","CTTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC009961.4",NA,"AL356218.2"
"CPNE3","REEP5","AGAP3",NA,"BEX3","KIT",NA,"CNPY2","RTN3","APBB3","APOL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRP4-AS1",NA,"SLC38A5"
"NCAPD2","AC018755.4","NCSTN",NA,"PCYT2","C12orf57",NA,"AL138762.1","RELA","MRPL51","TXNRD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDX39B",NA,"SLC6A1"
"EIF4EBP2","RAC1","SSR1",NA,"APAF1","CLNS1A",NA,"CHST1","GNMT","CAST","NDUFS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C8A",NA,"CSNK2B"
"AC114928.1","SDF4","HMGCL",NA,"ZNF865","AC145343.1",NA,"LOXL3","CITED2","THAP5","C5orf24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHROOM4",NA,"GNAQ"
"AL596325.1","ETNK1","RTN4",NA,"ARHGAP5","HDLBP",NA,"AL158071.4","CCDC146","CANT1","Z97056.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR1AIP2",NA,"IDH2"
"AC009962.1","BAIAP2L2","CETN2",NA,"APOBEC3H","BUD23",NA,"AL512791.2","TBCE","NAB2","ZNF358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PXN-AS1",NA,"EID1"
"AL021368.1","CLPTM1","MZT2B",NA,"TPRG1L","DRG1",NA,"C12orf45","MICOS13","PUM2","MRPL30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL033527.4",NA,"IDH3G"
"HSPB6","ZNF20","LYPLA2",NA,"SEC14L4","WDR13",NA,"H2AFJ","TMEM181","KLC1","IRAK1BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLIP1",NA,"TMED2"
"ERO1B","AC131159.1","NSL1",NA,"TIRAP","AL049557.1",NA,"PROS1","SUPT6H","TBCA","RNASET2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL606760.2",NA,"WDR55"
"AC092123.1","KTN1","ACTR10",NA,"CDK5","SUPT3H",NA,"AL357140.2","FAM227B","TRAM1","PPP1R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FKBP4",NA,"HDAC3"
"SDC4","MARF1","IVNS1ABP",NA,"ACADVL","DSP",NA,"PTEN","ANK3","SHISA4","PDGFRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NSA2",NA,"TUSC2"
"AC114341.1","PPM1G","PET100",NA,"PUM1","AC019080.1",NA,"NUP50","AC016957.2","PROSER2","ABCC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCDH1",NA,"MGAT2"
NA,"SMUG1","ARCN1",NA,"KLHL36","EIF4EBP2",NA,"DCN","DHX40","CMC1","UQCRC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD46",NA,"DMGDH"
NA,"POLR2J","NDUFAF1",NA,"PSMG1","CAPZA1",NA,"RUFY4","C5orf15","PRRC2A","NPLOC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSPYL1",NA,"VIRMA"
NA,"AP000223.1","AGMO",NA,"CYP27A1","LINC01134",NA,"BEST4","FAM20C","UBE2V1","CLN6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC022098.1",NA,"CLK1"
NA,"RGS9","UBE3C",NA,"GRB7","IGDCC4",NA,"SHMT2","CRIP3","PIK3R2","HK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM189",NA,"VDAC1"
NA,"BRK1","MRPL42",NA,"TRIB1","CUL3",NA,"GPC4","FKBP8","CYP3A43","MRPL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOL2",NA,"TPCN1"
NA,"CDK10","SLC2A4RG",NA,"VAT1","CYSTM1",NA,"PTGFRN","IER3-AS1","DMAC1","UGGT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFA2",NA,"AL356652.1"
NA,"CYP2C18","UROC1",NA,"RPLP2","ZNF597",NA,"SMIM4","MYBBP1A","DCAF10","MRTO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACTR1A",NA,"RPL36A"
NA,"YES1","ZDHHC19",NA,"SDSL","CXCL13",NA,"TEDC1","MPP7","POLR2I","ZNF90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02446",NA,"SCAF11"
NA,"WBP11","TOP2B",NA,"GRAMD1C","ALKBH5",NA,"EI24","PTCD1","WDR24","AGAP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACYP2",NA,"LAIR2"
NA,"PDXDC1","STEAP1",NA,"NAA10","ZNF155",NA,"ATG101","AC005332.4","FZR1","APOLD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRN4",NA,"DLG4"
NA,"DCTN2","EIF1AD",NA,"CLTC","SLC47A1",NA,"UBE2R2","MPLKIP","UBE2G1","LMNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP001527.2",NA,"ACVR1C"
NA,"FDX2","CSNK1A1",NA,"FXR2","GAS5-AS1",NA,"POFUT1","CCDC150","SSBP3","FBXO25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRNP",NA,"CYP4F2"
NA,"ADH4","GALK1",NA,"SOWAHA","PLXNC1",NA,"AZIN1","NME3","CCDC117","NCOA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FADS1",NA,"AC046129.1"
NA,"ZNF256","CAPN5",NA,"GLUD1","SCAMP3",NA,"INPPL1","MOSMO","CCL14","SCPEP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCIAD1",NA,"PPP2R1A"
NA,"SERPINF1","NAGA",NA,"DBF4","ASPN",NA,"CRAT","DYNC1H1","MRFAP1L1","PSEN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POMP",NA,"TMTC1"
NA,"GATAD1","ETNK2",NA,"RIDA","AC016355.1",NA,"SLC5A6","AC005041.5","TSNAX","SLC7A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCN2",NA,"SEC24B"
NA,"PLA2G4C","SLC27A2",NA,"HCRT","C5AR2",NA,"TOP1","RPL18","ERO1A","SPART",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYAP1",NA,"UGDH"
NA,"ACTG1","WDR5",NA,"GPR39","CREG1",NA,"AC068205.2","AL391834.2","MRPS27","SLC39A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL23",NA,"HMGN2"
NA,"EIF5AL1","GSDMB",NA,"ANKRD13C","AAMP",NA,"MED8","PRDX3","MBNL3","WDR55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPS35",NA,"OSCAR"
NA,"VCAN","ZNF250",NA,"BIRC6","PSMA5",NA,"GPC3","FMO5","SLC1A2","RAB24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL14",NA,"NPLOC4"
NA,"DDRGK1","PLS1",NA,"GBA2","VARS",NA,"RNASET2","LBR","MARCH5","HGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOMM5",NA,"SRP72"
NA,"MRPL28","HIGD1A",NA,"LRSAM1","ARFRP1",NA,"EIF2A","BAAT","MEPCE","IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COX5B",NA,"CDK13"
NA,"AL691432.2","ACOT12",NA,"MANF","STARD10",NA,"TSPAN6","LRRC75B","CTSL","B3GALT6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR25",NA,"CSE1L"
NA,"GNPTG","EDEM3",NA,"SUZ12","DRD1",NA,"CSE1L","TMEM159","TWF1","HEBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF207",NA,"SNRPA"
NA,"NECAP2","MEN1",NA,"USP11","DUSP1",NA,"SLC14A2","CYLD","NDUFA7","CHDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIPI2",NA,"WDR83OS"
NA,"TIPRL","BOP1",NA,"NIPA1","AKR1A1",NA,"TMEM254","STEAP4","AL353719.1","CPQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERICH1",NA,"MTPN"
NA,"C15orf48","FBLN2",NA,"TXN2","DNAJC6",NA,"TOB1","AUNIP","JUP","PPP5C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GTF2H5",NA,"LPGAT1"
NA,"NEK7","SLC29A1",NA,"GNA12","KLRC1",NA,"TSR3","SAC3D1","CCS","AC009309.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACOT13",NA,"IARS2"
NA,"MAT1A","NFKB2",NA,"OXNAD1","VPS25",NA,"MAN2B1","WDR74","RNF13","TBC1D17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AATF",NA,"TLCD4"
NA,"C9orf78","DMAC2L",NA,"ATP9A","XYLT1",NA,"AC114271.1","SPIN1","HNRNPD","SERPINB6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPRC5D-AS1",NA,"MTHFD1"
NA,"MT1X","TRIM5",NA,"GDA","CISD2",NA,"ZNF337-AS1","ZNF138","IDNK","PLBD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3GNT4",NA,"RIPK4"
NA,"RBBP4","SEC14L1",NA,"HEY1","UBD",NA,"RBBP4","VPS25","ESD","CALD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT1X",NA,"FXR1"
NA,"PRRC2A","TPM1",NA,"AFDN","MAP3K13",NA,"ALDH6A1","CHAF1B","CALR","ELP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF589",NA,"AC091059.1"
NA,"STARD10","DAP3",NA,"DOP1A","SLC25A44",NA,"AP003119.1","AC008105.1","RBMS1","ATP5MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C21orf58",NA,"ATP6AP2"
NA,"DNM1","TMEM131",NA,"ZBTB48","KDELR1",NA,"DERL2","DNAJB1","ZNF592","STOML2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRCH3",NA,"ARFGAP3"
NA,"MRPL30","ACSM2B",NA,"PHYH","GFM1",NA,"ARL5B","DYNC1LI2","FOXRED1","ARF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI2",NA,"SEM1"
NA,"AL121894.2","LRG1",NA,"HGS","CAPNS1",NA,"PDE4B","BMT2","SLCO2B1","C2orf81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUSB",NA,"RFXANK"
NA,"HNF4A","NDRG2",NA,"GAS2L1","USP7",NA,"SCFD2","NT5E","LZTS3","AC021074.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MELTF",NA,"RBX1"
NA,"TOMM70","UBE2R2",NA,"INPP5K","AC064836.4",NA,"AC027279.1","TMED7","FMC1","CD300LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OST4",NA,"ATP5F1D"
NA,"ALG1L","CLTB",NA,"TSNARE1","SEC11A",NA,"HSPD1","GPS1","ECHDC2","DDIT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC01970",NA,"HDAC6"
NA,"CAPZA2","GALM",NA,"CFHR2","AL583785.1",NA,"USF2","PDE7B","API5","PAPSS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FASTK",NA,"HTATSF1"
NA,"ZBTB39","FAM83H",NA,"WNK4","ZMPSTE24",NA,"CDK5RAP2","SDHAF2","TK2","GLUD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FNDC11",NA,"HEXB"
NA,"RHOT2","CDK10",NA,"KLF15","SUPT5H",NA,NA,"OTUD3","LDHA","NME2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM154",NA,"DYNC1LI2"
NA,"SLC16A10","HSPBP1",NA,"BNIP3","LINC01431",NA,NA,"TRAPPC5","YIPF6","ALG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPP8",NA,"ADAMTSL4"
NA,"CCNK","UGT2B7",NA,"MEIS2","PRICKLE3",NA,NA,"OGDHL","CCND3","TAF15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL36A",NA,"FAM32A"
NA,"PPFIA1","BACH1",NA,"AP000692.2","CCDC146",NA,NA,"PAQR8","CNDP2","NUBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMC5",NA,"RNPEP"
NA,"CCT3","KLHDC3",NA,"FUBP1","FANCM",NA,NA,"APLP2","GHR","H1F0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EFCAB6",NA,"MBLAC2"
NA,"ZHX1","COMMD4",NA,"GALT","AC097637.3",NA,NA,"PSMB5","EHMT1","HNRNPH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC068305.2",NA,"TCEA3"
NA,"SPRED1","SLC47A1",NA,"AC131097.2","COPS5",NA,NA,"AL034374.1","MARK3","METTL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPINT2",NA,"PTCD3"
NA,"FBXL15","SIPA1L2",NA,"PPP1R32","SQOR",NA,NA,"GOLIM4","NOLC1","CALR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF549",NA,"REEP5"
NA,"IAH1","ASCC2",NA,"COX18","EIF2A",NA,NA,"DSTN","SLC25A53","RAB11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHNAK2",NA,"ADRA1A"
NA,"TARS","PHC2",NA,"FOXC1","TMEM41B",NA,NA,"LYZL2","SAMM50","TMEM214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TGFB3",NA,"CDS2"
NA,"AC093382.1","RASD1",NA,"SCYL3","LINC01488",NA,NA,"TCEA1","SPOP","ATL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL163973.3",NA,"GCNA"
NA,"ENDOG","RAB8A",NA,"PLEKHA5","CCDC180",NA,NA,"SF3B4","SEPTIN10","PNPLA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC01238",NA,"TRIR"
NA,"AC099850.1","RGS3",NA,"SURF2","STYX",NA,NA,"FANCI","COQ10B","DUSP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EGFL7",NA,"AKR1C3"
NA,"BCL7C","SERPINA7",NA,"SCLT1","KRT18",NA,NA,"AC011472.4","ANAPC13","ROCK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF594",NA,"ZNF324B"
NA,"LONP1","NUDT21",NA,"MTRF1","ERO1A",NA,NA,"DAPL1","RHBDD2","SF3A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CREBL2",NA,"ZNF683"
NA,"MRTO4","MAPK3",NA,"RAPH1","ARL10",NA,NA,"ZNF823","TMEM33","PLGLB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC021491.2",NA,"EIF2B5"
NA,"CCNG1","RPP30",NA,"ADRA2B","GPAA1",NA,NA,"ST7-AS1","IKBKG","VMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM179B",NA,"MVD"
NA,"REST","TSC22D1",NA,"KIAA1109","DNAJC7",NA,NA,"TSPAN8","TNKS1BP1","JMJD8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PMVK",NA,"LINC00862"
NA,"REEP4","GALK2",NA,"IGFBP1","ERGIC3",NA,NA,"C4orf33","SELENOT","DGCR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HNMT",NA,"JAM2"
NA,"PABPC4","PACS2",NA,"AC087500.1","USP5",NA,NA,"KLKB1","ITPRID2","SDC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC073641.1",NA,"PET100"
NA,"KIF22","MAGOH",NA,"RBM34","AC009318.1",NA,NA,"GGPS1","YDJC","UBA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRG1",NA,"BHMT2"
NA,"ETS2","FAM86C1",NA,"BCHE","EIF1",NA,NA,"HSPA1A","ZNF511","DCAF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ITGA1",NA,"AC026254.2"
NA,"MRPS15","ELK4",NA,"ERCC5","ZFP41",NA,NA,"COQ8A","KCNC4","ENAH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAS6-DT",NA,"DLGAP1-AS1"
NA,"CSRP2","CHDH",NA,"IGF1","HMGB1",NA,NA,"AP001065.3","SULT1A1","MED8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PMPCA",NA,"WBP2"
NA,"ECI1","SUOX",NA,"IER5","S100B",NA,NA,"NT5C3B","PLCXD2","PEPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METTL7B",NA,"ZNF770"
NA,"CTSH","BTF3L4",NA,"RNASE4","SIGLEC15",NA,NA,"HNF4A-AS1","FNDC3A","FOXRED2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C6orf89",NA,"PROB1"
NA,"AC090116.1","VARS2",NA,"COPG1","GATAD1",NA,NA,"A1CF","ARFRP1","ITGA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBE2L3",NA,"NELFE"
NA,"RBM47","FZR1",NA,"ZUP1","TMEM45B",NA,NA,"GALNT1","SEH1L","FLAD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL136221.1",NA,"NDUFB4"
NA,"NHS","PRPS1",NA,"EPB41L5","MDM2",NA,NA,"MAVS","PRPF6","PRPF4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRPS1",NA,"CERS2"
NA,"AL358472.5","SC5D",NA,"ATG12","TNFRSF1B",NA,NA,"AL449106.1","FZD5","BCKDHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SBF2",NA,"MIA2"
NA,"FNDC3B","SEC16A",NA,"ST6GALNAC3","CSAD",NA,NA,"THG1L","C1orf174","SLFN12L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABCF1",NA,"ZNF207"
NA,"ACO2","SLC25A5",NA,"C11orf24","MB",NA,NA,"KPNA1","PACS2","C8orf82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL24",NA,"FAHD2A"
NA,"KLC4","HOMER2",NA,"MYADM","NDUFS8",NA,NA,"BROX","CMBL","BCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRIK1-AS1",NA,"SULT1A2"
NA,"TPCN1","CLN6",NA,"FCRL3","SLC35B1",NA,NA,"NIT1","GALNT1","SOWAHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YBX1",NA,"HBA1"
NA,"ORM2","HIST1H2AC",NA,"ITIH1","IL18RAP",NA,NA,"PLEKHF1","NT5E","SQSTM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AP2S1",NA,"ELP2"
NA,"KHSRP","UBE2I",NA,"MMP24OS","SNU13",NA,NA,"HNRNPU","NDST1","SP100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC10A1",NA,"LUM"
NA,"YWHAQ","ANKHD1",NA,"AKAP9","TGFBI",NA,NA,"VPS37C","CYP17A1","SLC25A22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC005034.3",NA,"PLAAT3"
NA,"GPRC5C","HNRNPF",NA,"RNF216","GPS1",NA,NA,"IRF9","LRRC45","AC092809.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC22A9",NA,"EIF4A2"
NA,"FOXK1","SORL1",NA,"SLC2A8","NAA40",NA,NA,"MTIF3","GALE","PPP3R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UGT2B7",NA,"KCNT2"
NA,"ZNF655","OTUD5",NA,"CHAMP1","LINC00310",NA,NA,"C20orf194","ZNF25","CCND3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DGCR2",NA,"CYP27A1"
NA,"JPT2","TRAPPC3",NA,"UQCRQ","CCDC148",NA,NA,"GAB3","ZNF330","MSRB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMYM6",NA,"TFG"
NA,"RAB11A","HIGD2A",NA,"C12orf66","ELP2",NA,NA,"ABCD1","PRRC1","GPX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAN1B1",NA,"CHMP1A"
NA,"KRTCAP2","FAXDC2",NA,"CEP89","SLC25A3",NA,NA,"LINC01275","ATP5IF1","TMEM14B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SELENOO",NA,"MAGED2"
NA,"PFDN2","PPIC",NA,"NSMAF","GOT1",NA,NA,"PSG9","BAX","ELOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MUL1",NA,"APH1A"
NA,"GPS1","CLK2",NA,"FANCL","TSC2",NA,NA,"ESYT2","CCT7","CYTH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCHO2",NA,"BLOC1S1"
NA,"MLH3","RAP1A",NA,"TUSC1","SF3B5",NA,NA,"AC016027.1","PLEKHF1","SLC25A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPM1B",NA,"ACOT7"
NA,"PELP1","PLA2G12B",NA,"PIAS2","SULT1A1",NA,NA,"ITGA11","FBXO22","UBE2Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IFI30",NA,"LYZ"
NA,"AC107027.3","MAEA",NA,"LDLR","C5orf49",NA,NA,"AC027097.1","MKNK2","IQGAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BZW1",NA,"ORM1"
