"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
NA,"ZNF532",NA,"TMEM37",NA,NA,NA,NA,NA,NA,"MAGEA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOL4",NA,NA,NA
NA,"MC1R",NA,"OPA3",NA,NA,NA,NA,NA,NA,"AC023154.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPAIN",NA,NA,NA
NA,"CYFIP2",NA,"SETD6",NA,NA,NA,NA,NA,NA,"LINC02033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF343",NA,NA,NA
NA,"SATB1-AS1",NA,"AC104463.2",NA,NA,NA,NA,NA,NA,"TMEM91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NADK2",NA,NA,NA
NA,"PSMA3-AS1",NA,"AL078644.2",NA,NA,NA,NA,NA,NA,"AKAP13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC002094.4",NA,NA,NA
NA,"SAC3D1",NA,"KCNMB1",NA,NA,NA,NA,NA,NA,"SDHAF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAC3",NA,NA,NA
NA,"SLC25A22",NA,"ZNF285",NA,NA,NA,NA,NA,NA,"GRTP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GFAP",NA,NA,NA
NA,"HAAO",NA,"RGS3",NA,NA,NA,NA,NA,NA,"AC145207.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBKBP1",NA,NA,NA
NA,"NR2E3",NA,"GREB1",NA,NA,NA,NA,NA,NA,"TMTC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ORMDL3",NA,NA,NA
NA,"CRTC2",NA,"SSH3",NA,NA,NA,NA,NA,NA,"PTGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CERT1",NA,NA,NA
NA,"AL445493.3",NA,"MRPL32",NA,NA,NA,NA,NA,NA,"ZEB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBBP5",NA,NA,NA
NA,"AC007656.1",NA,"NDUFA6",NA,NA,NA,NA,NA,NA,"EGFL8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC022467.1",NA,NA,NA
NA,"CFAP53",NA,"RAVER1",NA,NA,NA,NA,NA,NA,"ALG9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC012087.2",NA,NA,NA
NA,"RGMB",NA,"KANTR",NA,NA,NA,NA,NA,NA,"MAN2B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C16orf95",NA,NA,NA
NA,"ZNF561-AS1",NA,"GTF2B",NA,NA,NA,NA,NA,NA,"COX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KRT8",NA,NA,NA
NA,"LMO4",NA,"CALCR",NA,NA,NA,NA,NA,NA,"AC007036.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEATR6",NA,NA,NA
NA,"PBDC1",NA,"LETMD1",NA,NA,NA,NA,NA,NA,"TRIM52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NSDHL",NA,NA,NA
NA,"ZNRD2",NA,"RBKS",NA,NA,NA,NA,NA,NA,"MBIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSTO1",NA,NA,NA
NA,"AC145207.6",NA,"INO80C",NA,NA,NA,NA,NA,NA,"TOP2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRRC20",NA,NA,NA
NA,"RASL11A",NA,"MMP15",NA,NA,NA,NA,NA,NA,"AC084757.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEMA5A",NA,NA,NA
NA,"PFDN1",NA,"HSCB",NA,NA,NA,NA,NA,NA,"CLEC2L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEN",NA,NA,NA
NA,"MRPS28",NA,"C19orf53",NA,NA,NA,NA,NA,NA,"AC006460.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02499",NA,NA,NA
NA,"ZC3H7A",NA,"AC008555.1",NA,NA,NA,NA,NA,NA,"NDUFA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPX",NA,NA,NA
NA,"PNMA1",NA,"C11orf71",NA,NA,NA,NA,NA,NA,"SLC37A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCAM",NA,NA,NA
NA,"CDHR3",NA,"AC027575.2",NA,NA,NA,NA,NA,NA,"FBXL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFC2",NA,NA,NA
NA,"ETHE1",NA,"C1orf226",NA,NA,NA,NA,NA,NA,"JDP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBRSL1",NA,NA,NA
NA,"PDE4D",NA,"AC139768.1",NA,NA,NA,NA,NA,NA,"FAM3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASP7",NA,NA,NA
NA,"PLEKHA1",NA,"FDX1",NA,NA,NA,NA,NA,NA,"CEP57L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSPA1A",NA,NA,NA
NA,"UQCC1",NA,"AC007383.3",NA,NA,NA,NA,NA,NA,"TMEM262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMS19",NA,NA,NA
NA,"NDUFA12",NA,"DYNLT3",NA,NA,NA,NA,NA,NA,"CDK7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL513190.1",NA,NA,NA
NA,"FCER1A",NA,"BLVRB",NA,NA,NA,NA,NA,NA,"MTA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF330",NA,NA,NA
NA,"SPI1",NA,"NADK2",NA,NA,NA,NA,NA,NA,"BX293535.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIB2",NA,NA,NA
NA,"AC010320.1",NA,"GRIK5",NA,NA,NA,NA,NA,NA,"CCPG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRAMP1",NA,NA,NA
NA,"PCGF3",NA,"NDUFA3",NA,NA,NA,NA,NA,NA,"DHDDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC012625.1",NA,NA,NA
NA,"LINC02438",NA,"MTSS1",NA,NA,NA,NA,NA,NA,"FBXO6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH1A1",NA,NA,NA
NA,"LINC00871",NA,"AL139099.1",NA,NA,NA,NA,NA,NA,"RLIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SVIP",NA,NA,NA
NA,"SLC25A17",NA,"EFCAB2",NA,NA,NA,NA,NA,NA,"SP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZPR1",NA,NA,NA
NA,"RBM27",NA,"MT-ND4L",NA,NA,NA,NA,NA,NA,"POM121C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DMAC2",NA,NA,NA
NA,"ADD3",NA,"ZNF169",NA,NA,NA,NA,NA,NA,"MRPL27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL078604.2",NA,NA,NA
NA,"TET2",NA,"CIPC",NA,NA,NA,NA,NA,NA,"IPO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLSCR3",NA,NA,NA
NA,"MTF2",NA,"AK7",NA,NA,NA,NA,NA,NA,"CPEB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCM5",NA,NA,NA
NA,"SPRYD7",NA,"SNX6",NA,NA,NA,NA,NA,NA,"AC011472.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMG7",NA,NA,NA
NA,"ZNF451",NA,"YTHDF1",NA,NA,NA,NA,NA,NA,"LIMK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTUD1",NA,NA,NA
NA,"AL133330.1",NA,"CCNT2-AS1",NA,NA,NA,NA,NA,NA,"GNG10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BNIPL",NA,NA,NA
NA,"PIEZO1",NA,"AC096772.1",NA,NA,NA,NA,NA,NA,"ABCG5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPK3",NA,NA,NA
NA,"PAFAH1B2",NA,"RPIA",NA,NA,NA,NA,NA,NA,"SIAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C17orf113",NA,NA,NA
NA,"MRPL30",NA,"RBM6",NA,NA,NA,NA,NA,NA,"AL135999.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLL",NA,NA,NA
NA,"PTPRCAP",NA,"CD99",NA,NA,NA,NA,NA,NA,"AC009118.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLHL21",NA,NA,NA
NA,"IRF4",NA,"GPT",NA,NA,NA,NA,NA,NA,"GLRA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC097376.3",NA,NA,NA
NA,"MIR4300HG",NA,"MRPS17",NA,NA,NA,NA,NA,NA,"RWDD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALNS",NA,NA,NA
NA,"CAMSAP3",NA,"TMED8",NA,NA,NA,NA,NA,NA,"AC004522.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAT2",NA,NA,NA
NA,"ATG2A",NA,"EPSTI1",NA,NA,NA,NA,NA,NA,"ABCB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALKBH2",NA,NA,NA
NA,"KLF12",NA,"ZKSCAN2",NA,NA,NA,NA,NA,NA,"PPM1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF69",NA,NA,NA
NA,"LINC02615",NA,"PNPLA2",NA,NA,NA,NA,NA,NA,"NUP188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP6V1H",NA,NA,NA
NA,"SRP54",NA,"MYL12B",NA,NA,NA,NA,NA,NA,"ADRA1D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCCPDH",NA,NA,NA
NA,"AC068658.1",NA,"SPATA5L1",NA,NA,NA,NA,NA,NA,"SNHG21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02757",NA,NA,NA
NA,"LINC01355",NA,"METTL7B",NA,NA,NA,NA,NA,NA,"LIMS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBQLN4",NA,NA,NA
NA,"CEP162",NA,"MPC2",NA,NA,NA,NA,NA,NA,"HCLS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF623",NA,NA,NA
NA,"KAT2A",NA,"SOHLH2",NA,NA,NA,NA,NA,NA,"AC116036.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF511",NA,NA,NA
NA,"RAB5C",NA,"CCNYL1",NA,NA,NA,NA,NA,NA,"DDX50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CES3",NA,NA,NA
NA,"TRAPPC12",NA,"SNAPC5",NA,NA,NA,NA,NA,NA,"VPS13C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOPP1",NA,NA,NA
NA,"VAMP2",NA,"GNA11",NA,NA,NA,NA,NA,NA,"AC074138.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPR143",NA,NA,NA
NA,"DEDD",NA,"CDC37L1",NA,NA,NA,NA,NA,NA,"LINC00339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC010680.5",NA,NA,NA
NA,"MIS18A",NA,"TBC1D30",NA,NA,NA,NA,NA,NA,"PSMF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABHD17C",NA,NA,NA
NA,"ARNTL2",NA,"SDCBP",NA,NA,NA,NA,NA,NA,"CCT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIST1H3H",NA,NA,NA
NA,"CCDC90B",NA,"DIPK2B",NA,NA,NA,NA,NA,NA,"CDCA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAPK8IP1",NA,NA,NA
NA,"PTPRA",NA,"CD101",NA,NA,NA,NA,NA,NA,"ABRACL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TNFRSF4",NA,NA,NA
NA,"PEF1",NA,"SAMM50",NA,NA,NA,NA,NA,NA,"C1orf122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAP30L",NA,NA,NA
NA,"CDK19",NA,"UNC50",NA,NA,NA,NA,NA,NA,"INHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNHG20",NA,NA,NA
NA,"ANKRD34A",NA,"TPRN",NA,NA,NA,NA,NA,NA,"ZKSCAN8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MED16",NA,NA,NA
NA,"METTL9",NA,"CUX1",NA,NA,NA,NA,NA,NA,"ARHGEF10L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAMTS9-AS2",NA,NA,NA
NA,"EEPD1",NA,"AL590708.1",NA,NA,NA,NA,NA,NA,"CDS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZC3HC1",NA,NA,NA
NA,"NEIL2",NA,"MDN1",NA,NA,NA,NA,NA,NA,"NSMCE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RRM2B",NA,NA,NA
NA,"ZMAT5",NA,"WASHC5",NA,NA,NA,NA,NA,NA,"AC090246.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGK3",NA,NA,NA
NA,"RITA1",NA,"HDAC3",NA,NA,NA,NA,NA,NA,"PSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTHFS",NA,NA,NA
NA,"HAUS2",NA,"DHRS3",NA,NA,NA,NA,NA,NA,"IGHG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSPAN14",NA,NA,NA
NA,"ZNF830",NA,"TRAF3IP2",NA,NA,NA,NA,NA,NA,"DMAC2L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOLGA1",NA,NA,NA
NA,"SLC1A5",NA,"ECI1",NA,NA,NA,NA,NA,NA,"ADGRL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIS3L",NA,NA,NA
NA,"ACTL6A",NA,"ATP6AP2",NA,NA,NA,NA,NA,NA,"BOLA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLOC1S1",NA,NA,NA
NA,"AC011899.3",NA,"FAM126B",NA,NA,NA,NA,NA,NA,"CDKN1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UPK3BL1",NA,NA,NA
NA,"EIF4H",NA,"TMEM223",NA,NA,NA,NA,NA,NA,"ARHGAP35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USP10",NA,NA,NA
NA,"POLR3F",NA,"AUTS2",NA,NA,NA,NA,NA,NA,"ANXA8L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MECP2",NA,NA,NA
NA,"CPM",NA,"MGAT2",NA,NA,NA,NA,NA,NA,"RNF169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST5",NA,NA,NA
NA,"CTU1",NA,"C17orf67",NA,NA,NA,NA,NA,NA,"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPP1",NA,NA,NA
NA,"UBL4A",NA,"FAM245B",NA,NA,NA,NA,NA,NA,"ZBTB8OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL354733.2",NA,NA,NA
NA,"LINC02148",NA,"DCAF12",NA,NA,NA,NA,NA,NA,"PROSER1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMPRSS13",NA,NA,NA
NA,"MPHOSPH8",NA,"TMEM123",NA,NA,NA,NA,NA,NA,"RNF217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBXO34",NA,NA,NA
NA,"GTF3A",NA,"RPRD2",NA,NA,NA,NA,NA,NA,"CYLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRMT61B",NA,NA,NA
NA,"AC010642.2",NA,"DZIP3",NA,NA,NA,NA,NA,NA,"PET117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MGAT5",NA,NA,NA
NA,"ZNF606",NA,"TMEM97",NA,NA,NA,NA,NA,NA,"RCBTB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID2-AS1",NA,NA,NA
NA,"PPP1R9B",NA,"PACERR",NA,NA,NA,NA,NA,NA,"AL139815.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EME1",NA,NA,NA
NA,"LONRF1",NA,"TMEM63B",NA,NA,NA,NA,NA,NA,"KPNA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL121992.3",NA,NA,NA
NA,"MAN1B1-DT",NA,"ALKBH2",NA,NA,NA,NA,NA,NA,"LMBRD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL162726.1",NA,NA,NA
NA,"AC130307.1",NA,"CNTNAP4",NA,NA,NA,NA,NA,NA,"MFAP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSHZ2",NA,NA,NA
NA,"FAP",NA,"PPP1R16B",NA,NA,NA,NA,NA,NA,"AC019257.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCRN2",NA,NA,NA
NA,"FUBP1",NA,"TLK1",NA,NA,NA,NA,NA,NA,"ENPEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBXN11",NA,NA,NA
NA,"KBTBD7",NA,"SMOC1",NA,NA,NA,NA,NA,NA,"PCGF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFAP1",NA,NA,NA
NA,"HLA-DRB5",NA,"CEBPB",NA,NA,NA,NA,NA,NA,"KLHL24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD27",NA,NA,NA
NA,"NDUFA9",NA,"AC022296.4",NA,NA,NA,NA,NA,NA,"ADGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FGF14-AS2",NA,NA,NA
NA,"AL110114.1",NA,"RDH16",NA,NA,NA,NA,NA,NA,"NUP85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC073957.2",NA,NA,NA
NA,"LYZL1",NA,"REPS2",NA,NA,NA,NA,NA,NA,"ITGA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERGEF",NA,NA,NA
NA,"INF2",NA,"MTR",NA,NA,NA,NA,NA,NA,"CXCL8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYRF-AS1",NA,NA,NA
NA,"BIRC3",NA,"TRIQK",NA,NA,NA,NA,NA,NA,"TADA2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC010883.1",NA,NA,NA
NA,"DPF2",NA,"NDUFA1",NA,NA,NA,NA,NA,NA,"MRPS22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADI1",NA,NA,NA
NA,"UBXN11",NA,"OTUD1",NA,NA,NA,NA,NA,NA,"HOTTIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NPR3",NA,NA,NA
NA,"AXIN1",NA,"LGR4",NA,NA,NA,NA,NA,NA,"MGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAS2",NA,NA,NA
NA,"WBP2",NA,"RNF130",NA,NA,NA,NA,NA,NA,"TMCO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPUSD4",NA,NA,NA
NA,"CTSH",NA,"SYVN1",NA,NA,NA,NA,NA,NA,"KCTD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E4F1",NA,NA,NA
NA,"SYCP2L",NA,"ANKRD24",NA,NA,NA,NA,NA,NA,"ZGLP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD50",NA,NA,NA
NA,"NFKBIL1",NA,"AC126283.1",NA,NA,NA,NA,NA,NA,"DCBLD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLASRP",NA,NA,NA
NA,"CSNK1E",NA,"AC103810.2",NA,NA,NA,NA,NA,NA,"AC025572.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL121929.3",NA,NA,NA
NA,"LINC02770",NA,"JMJD1C",NA,NA,NA,NA,NA,NA,"CABIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNL3",NA,NA,NA
NA,"FAM242C",NA,"CWC22",NA,NA,NA,NA,NA,NA,"HIST1H4H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASP1",NA,NA,NA
NA,"DENND1B",NA,"CEP57",NA,NA,NA,NA,NA,NA,"AL450468.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DKK3",NA,NA,NA
NA,"ATIC",NA,"CFL2",NA,NA,NA,NA,NA,NA,"TJAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CCL28",NA,NA,NA
NA,"SOGA1",NA,"MLYCD",NA,NA,NA,NA,NA,NA,"PANK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC00211",NA,NA,NA
NA,"FXN",NA,"SH2B1",NA,NA,NA,NA,NA,NA,"SAGE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOCS1",NA,NA,NA
NA,"SEPTIN9",NA,"USP19",NA,NA,NA,NA,NA,NA,"SETD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC010245.2",NA,NA,NA
NA,"PRCP",NA,"AL080276.2",NA,NA,NA,NA,NA,NA,"RNF38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATXN2-AS",NA,NA,NA
NA,"SYAP1",NA,"WDR24",NA,NA,NA,NA,NA,NA,"AL135905.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC008443.1",NA,NA,NA
NA,"AC105020.2",NA,"SLC66A1",NA,NA,NA,NA,NA,NA,"IL6ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLRC1",NA,NA,NA
NA,"TAF7",NA,"ZNF595",NA,NA,NA,NA,NA,NA,"RASSF8-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUCB1",NA,NA,NA
NA,"PI4K2A",NA,"ZNF619",NA,NA,NA,NA,NA,NA,"BX470209.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BYSL",NA,NA,NA
NA,"LACTB2-AS1",NA,"ZFAND5",NA,NA,NA,NA,NA,NA,"LINC02551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAUS1",NA,NA,NA
NA,"MAGEF1",NA,"AC145207.8",NA,NA,NA,NA,NA,NA,"STRN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPT2",NA,NA,NA
NA,"ACTBL2",NA,"MRPL45",NA,NA,NA,NA,NA,NA,"AC013486.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCG17",NA,NA,NA
NA,"CD40",NA,"PEX6",NA,NA,NA,NA,NA,NA,"C15orf61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF277",NA,NA,NA
NA,"GPR158",NA,"JMJD7",NA,NA,NA,NA,NA,NA,"NOS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COG8",NA,NA,NA
NA,"DYRK4",NA,"HLA-F-AS1",NA,NA,NA,NA,NA,NA,"MGST3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FNDC3B",NA,NA,NA
NA,"LINC01047",NA,"CTR9",NA,NA,NA,NA,NA,NA,"CAPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALS2",NA,NA,NA
NA,"ZNF777",NA,"AC080013.1",NA,NA,NA,NA,NA,NA,"AC020978.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC01588",NA,NA,NA
NA,"ZNF229",NA,"NBPF14",NA,NA,NA,NA,NA,NA,"NTPCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF1",NA,NA,NA
NA,"LINC02413",NA,"UGT1A6",NA,NA,NA,NA,NA,NA,"COA6-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPANK1",NA,NA,NA
NA,"ACTR10",NA,"ZNF440",NA,NA,NA,NA,NA,NA,"DDA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRMU",NA,NA,NA
NA,"AL360268.1",NA,"AFDN",NA,NA,NA,NA,NA,NA,"TBC1D10B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRBP",NA,NA,NA
NA,"AL049780.1",NA,"RBM45",NA,NA,NA,NA,NA,NA,"POGK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRM6",NA,NA,NA
NA,"AC231981.1",NA,"HSPE1",NA,NA,NA,NA,NA,NA,"ABI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MFSD14A",NA,NA,NA
