"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"GDF7","CD1C","FCHSD1","FGA","CD247","XCL1","RAB7B","AC008440.2","CTNNA3","OLFML2B","C9orf152","TRMT2B","KLC3","HOXD10","KRT17","TRMT1L","USH2A","AC099489.1","KISS1","MRPL53","LINC01354","CD1D","ITPKB-IT1","AC103591.3"
"UBXN2A","MPZ","FGF18","MARCH1","XCL2","RO60","SYT14","TCF15","TMEM119","FREM1","LINC00707","TNFSF11","ZNF687-AS1","SAMD14","TTC39C-AS1","ODR4","EGLN1","ARSF","YOD1","TCF7L1","RYR2","PIGM","URB2","ZNHIT6"
"ZNF512","DUSP12","SERPINB9P1","SNX25","KLHL20","TRAF5","DUSP10","FAM83C-AS1","AC004076.2","ZNF648","AL512598.1","ITGB4","SHISAL1","IQSEC3","PCP2","ATP6V1G3","MT1HL1","FXYD3","RPS6KC1","CAPG","PLD5","PEA15","EXOC8","BTBD8"
"MEMO1","DDR2","DCDC2","BRD9","DARS2","TARBP1","C1orf35","PRRG3","FGF11","HEMGN","AC245041.2","BMPR1B","ZNF175","MIR9-3HG","COMP","AC104463.2","RNASEH1-AS1","CPNE5","GPATCH2","MAL","TRIM58","DUSP12","KCNK1","GFI1"
"FAM98A","FMO2","AL662890.1","SMN1","RASAL2","GGPS1","COA6","AC240274.1","ZFP41","MSRB3","PDZD7","BBS12","DUXAP8","S100B","AC011479.4","RBBP5","E2F6","CACNB2","BPNT1","LYG1","ALKAL2","TBX19","HEATR1","GPR88"
"SOS1","PTGS2","PRRT1","HOMER1","STX6","LINC01871","RSAD2","AC105020.5","B3GNT3","ITK","AL451069.2","TMEM79","CCNF","SHISA3","SLC8A2","SLC41A1","NTSR2","ASH1L-AS1","AL592148.3","ECRG4","GREB1","KIFAP3","OPN3","EXTL2"
"C2orf42","REN","TRERF1","EDIL3","NMNAT2","SLC66A3","RRM2","CASQ1","FPR2","ZNF416","LINC02688","POLE2","AL138756.1","P2RY8","SLC17A7","SRGAP2","VSNL1","AC004816.2","AL591895.1","MALL","FAM228A","VAMP4","CHML","FAM102B"
"TEX261","SLC45A3","LRRC73","LUCAT1","KISS1","WDR35","KCNS3","AL023806.2","JRKL","AC090164.5","TNNI2","KCNT2","C11orf80","HOXA5","ZFP28","HHAT","AC018467.1","ASPHD1","COG2","ZC3H6","ABHD1","HMCN1","AL390728.6","GSTM1"
"TET3","RAB7B","RUNX2","APC","CDK18","DTNB","CENPO","ZNF676","CDR2L","DNAJC6","EHF","SLC16A13","AP002748.4","PNMA8B","LINC01273","INTS7","KLHL29","CA3-AS1","C1orf131","ZRANB3","AC007390.2","AC096677.1","SH3YL1","AL355816.2"
"LOXL3","CR1","TPBG","TIGD6","CD34","AGBL5","LCLAT1","COL15A1","SERP2","HDX","SYT13","SCN8A","AC073611.1","ADGRG2","NCAM2","LINC02608","FKBP1B","EPO","SPRTN","GCA","CYP1B1-AS1","HSD11B1-AS1","ALLC","PTPN22"
"LYG1","MIR29B2CHG","FAM162B","ADAM19","ANGEL2","TRMT61B","EHD3","FZD10","COLQ","MACC1","TCN1","ZNF440","AC009133.1","HIST1H2BN","IL10RB-DT","PSEN2","MSH2","PARD6G-AS1","SIPA1L2","SCN7A","AC019171.1","IRF6","U91324.1","PTGFRN"
"SULT1C2","FLVCR1","MOXD1","LSM11","TLR5","PKDCC","TMEM178A","GSDMA","MIATNB","U2AF1","FGF19","WHRN","RIMS3","CXCL6","AL732509.1","SPRTN","MSH6","ZNF684","RBM34","BBS5","SOS1-IT1","TRAF5","VSNL1","TTF2"
"NCKAP5","EPRS","ITGB8","ZSCAN31","CCSAP","FAM161A","MTA3","CPT1C","RALY-AS1","TIPIN","PLEKHB1","AC009812.4","GCNA","TSPOAP1","AL035425.3","MAP3K21","FOXN2","MOV10L1","ZNF692","SLC25A12","C1GALT1C1L","BATF3","MEMO1","WARS2"
"SCRN3","BPNT1","SFRP4","DAAM2","TTC13","C2orf42","SRBD1","AC006547.3","AC087588.2","LRRN3","LRRIQ1","TIGD5","AC012368.1","RAB25","EPPK1","AL391832.2","PNPT1","WHRN","AC010969.2","CHROMR","ATP6V1E2","EXOC8","CRIM1-DT","LINC00622"
"AGPS","KCNK1","AC006001.2","AL033397.1","DISC1","TGFA","CRIPT","PI16","RNASEL","ZNF334","DUOX2","AC009831.1","USHBP1","KIAA1755","POSTN","LINC01871","VRK2","AC026304.1","AC104794.3","KCTD18","KCNK12","DESI2","MAP4K3-DT","AC239800.2"
"FRZB","LYST","SEMA3D","KIAA1586","SIPA1L2","MOB1A","AC079807.1","EML6","BMPR1B","ZNF831","AC087477.4","CCNJ","ZNF235","ZNF285","WFDC2","TAF1B","FANCL","SLC14A1","NBAS","CASP10","AC093635.1","EFCAB2","TMEM178A","SRGAP2B"
"NUP35","AL591686.1","LRRC17","AL359715.3","B3GALNT2","LOXL3","PPP1R21","ARIH2OS","TTC22","TAF5","TMC5","FP565260.3","ZNF227","ANKRD13B","PINLYP","FAM49A","AC016727.1","P2RX1","WDR35","CREB1","EML6","AL591848.4","THADA","NUDT17"
"HECW2","SILC1","COPG2","CEP162","ZNF670","DNAH6","PUS10","HOXB7","BIRC5","NBPF3","GP2","TNFRSF11A","AC106739.1","HOXB7","GPX8","TTC32","BMP10","RGPD8","TP53I3","METTL21A","CCDC85A","SH3BP5L","PRKCE","ANKRD35"
"MARS2","ZNF513","AGBL3","CEP85L","AL390728.6","CD8B","ELMOD3","ZNF484","ATP6V0D2","ANKS6","SDR42E2","SYT9","CAMK2A","AC011043.1","MACC1","ADGRF3","MXD1","RNF165","KRTCAP3","LINC01857","APLF","GRHL1","CHAC2","AC245407.2"
"SATB2-AS1","NDUFAF7","AC005229.4","ARHGAP18","HS1BP3","ADRA2B","USP39","AC232271.1","AC012368.1","NIPSNAP3B","ERN2","ZNF775","TTLL7","PDCD1","AC060766.4","CAD","INPP4A","ELOA-AS1","GPN1","SPEG","VAX2","CGREF1","C2orf74","NBPF12"
"SPAG16","FAM136A","PHYHIP","SERAC1","GPATCH11","ZAP70","IGKV1-5","CHGB","ZNF821","LDLRAD3","DOC2A","AC139887.2","ZKSCAN5","CLEC4A","SLC16A5","GCKR","AFF3","SLC12A8","CRIM1-DT","OBSL1","EGR4","EIF2AK2","SERTAD2","BCL9"
"CATIP-AS1","TGFA","ADAMDEC1","IL6","DHX57","KIAA1211L","ANKRD39","AC099343.2","C17orf100","CDR2L","AC106782.5",NA,"ZNF470","ZNF70","LINC00511","AL133243.3","NPAS2","NAIF1","PLEKHH2","COL4A4","SLC4A5","CEBPZOS","WDR92","NBPF11"
"USP37","DNAH6","SBSPON","POLR2J3","LINC02245","ZC3H8","LONRF2","AXDND1","ANO8","VMAC","CHST4",NA,"AL118506.1","HAS1","AC024337.2","GALM","TTL","AP002381.2","TTC7A","AC009407.1","AC019069.1","PREPL","ALMS1-IT1","NBPF9"
