"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
NA,"TBC1D9",NA,NA,NA,NA,NA,NA,NA,NA,"JMJD7"
NA,"YME1L1",NA,NA,NA,NA,NA,NA,NA,NA,"ADORA2A"
NA,"TNFRSF10C",NA,NA,NA,NA,NA,NA,NA,NA,"INPP5B"
NA,"AC022098.1",NA,NA,NA,NA,NA,NA,NA,NA,"SYNDIG1L"
NA,"CHRAC1",NA,NA,NA,NA,NA,NA,NA,NA,"RAB3A"
NA,"SREBF1",NA,NA,NA,NA,NA,NA,NA,NA,"MITF"
NA,"C11orf49",NA,NA,NA,NA,NA,NA,NA,NA,"CCND2"
NA,"RNF19A",NA,NA,NA,NA,NA,NA,NA,NA,"ATG16L2"
NA,"LINC01560",NA,NA,NA,NA,NA,NA,NA,NA,"AKAP11"
NA,"APOA1",NA,NA,NA,NA,NA,NA,NA,NA,"MPZL1"
NA,"H19",NA,NA,NA,NA,NA,NA,NA,NA,"AC016044.1"
NA,"C7orf50",NA,NA,NA,NA,NA,NA,NA,NA,"MAPRE2"
NA,"SUPT5H",NA,NA,NA,NA,NA,NA,NA,NA,"VGLL4"
NA,"RAD51C",NA,NA,NA,NA,NA,NA,NA,NA,"MAPK11"
NA,"LINC02542",NA,NA,NA,NA,NA,NA,NA,NA,"PNMA2"
NA,"HAUS6",NA,NA,NA,NA,NA,NA,NA,NA,"DPEP2"
NA,"CBWD1",NA,NA,NA,NA,NA,NA,NA,NA,"C12orf57"
NA,"MIR3936HG",NA,NA,NA,NA,NA,NA,NA,NA,"IFT172"
NA,"TUBE1",NA,NA,NA,NA,NA,NA,NA,NA,"NFATC4"
NA,"C1R",NA,NA,NA,NA,NA,NA,NA,NA,"HPS3"
NA,"ZNF134",NA,NA,NA,NA,NA,NA,NA,NA,"RPL37A"
NA,"AC090796.1",NA,NA,NA,NA,NA,NA,NA,NA,"TMCO4"
NA,"ZDHHC24",NA,NA,NA,NA,NA,NA,NA,NA,"FASTKD5"
NA,"MRPS14",NA,NA,NA,NA,NA,NA,NA,NA,"AC024560.3"
NA,"ARHGAP24",NA,NA,NA,NA,NA,NA,NA,NA,"ITGAV"
NA,"SDC4",NA,NA,NA,NA,NA,NA,NA,NA,"BORCS8"
NA,"AC134312.5",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2H"
NA,"FAM161A",NA,NA,NA,NA,NA,NA,NA,NA,"LRRC37A2"
NA,"ARL6IP4",NA,NA,NA,NA,NA,NA,NA,NA,"PELI2"
NA,"KCNK5",NA,NA,NA,NA,NA,NA,NA,NA,"SLC12A3"
NA,"ZNF525",NA,NA,NA,NA,NA,NA,NA,NA,"IGHV4-39"
NA,"APOA5",NA,NA,NA,NA,NA,NA,NA,NA,"SESTD1"
NA,"SLC22A25",NA,NA,NA,NA,NA,NA,NA,NA,"EEF1A1"
NA,"MARC2",NA,NA,NA,NA,NA,NA,NA,NA,"PBX3"
NA,"ARL14EP",NA,NA,NA,NA,NA,NA,NA,NA,"P3H3"
NA,"RCAN3AS",NA,NA,NA,NA,NA,NA,NA,NA,"ZNRD1"
NA,"UBXN6",NA,NA,NA,NA,NA,NA,NA,NA,"AC093635.1"
NA,"TMEM115",NA,NA,NA,NA,NA,NA,NA,NA,"CAMSAP2"
NA,"CYHR1",NA,NA,NA,NA,NA,NA,NA,NA,"AC004264.1"
NA,"ATRNL1",NA,NA,NA,NA,NA,NA,NA,NA,"SPINT1-AS1"
NA,"XRCC6",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC77"
NA,"VPS50",NA,NA,NA,NA,NA,NA,NA,NA,"SPINT2"
NA,"PPP1R26",NA,NA,NA,NA,NA,NA,NA,NA,"ZSCAN25"
NA,"IZUMO4",NA,NA,NA,NA,NA,NA,NA,NA,"ZMYM4"
NA,"PPP1R3C",NA,NA,NA,NA,NA,NA,NA,NA,"LMBR1"
NA,"PSMB6",NA,NA,NA,NA,NA,NA,NA,NA,"C11orf49"
NA,"ZNF626",NA,NA,NA,NA,NA,NA,NA,NA,"RNF168"
NA,"MRPL58",NA,NA,NA,NA,NA,NA,NA,NA,"NCKAP5L"
NA,"SPATA6L",NA,NA,NA,NA,NA,NA,NA,NA,"PRELID3B"
NA,"POLM",NA,NA,NA,NA,NA,NA,NA,NA,"AC107021.2"
NA,"LRRC8A",NA,NA,NA,NA,NA,NA,NA,NA,"DDA1"
NA,"LINC01135",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF507"
NA,"DRAIC",NA,NA,NA,NA,NA,NA,NA,NA,"LEO1"
NA,"CAMTA1-DT",NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD65"
NA,"ANKRD9",NA,NA,NA,NA,NA,NA,NA,NA,"PCGF3"
NA,"GRHPR",NA,NA,NA,NA,NA,NA,NA,NA,"UFC1"
NA,"POFUT1",NA,NA,NA,NA,NA,NA,NA,NA,"PCED1B-AS1"
NA,"NUP88",NA,NA,NA,NA,NA,NA,NA,NA,"GXYLT1"
NA,"AGL",NA,NA,NA,NA,NA,NA,NA,NA,"PIP4P2"
NA,"PGPEP1",NA,NA,NA,NA,NA,NA,NA,NA,"SRCAP"
NA,"TRPM4",NA,NA,NA,NA,NA,NA,NA,NA,"CHMP3"
NA,"FKBP15",NA,NA,NA,NA,NA,NA,NA,NA,"ISYNA1"
NA,"SLC40A1",NA,NA,NA,NA,NA,NA,NA,NA,"CEP104"
NA,"ACP1",NA,NA,NA,NA,NA,NA,NA,NA,"DEDD2"
NA,"SOCS5",NA,NA,NA,NA,NA,NA,NA,NA,"CDK2AP2"
NA,"GSN",NA,NA,NA,NA,NA,NA,NA,NA,"SDCBP2"
NA,"MIF-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"AL442125.1"
NA,"RAB34",NA,NA,NA,NA,NA,NA,NA,NA,"RPL31"
NA,"POLB",NA,NA,NA,NA,NA,NA,NA,NA,"NDUFS3"
NA,"KIAA0232",NA,NA,NA,NA,NA,NA,NA,NA,"MYL12A"
NA,"C12orf49",NA,NA,NA,NA,NA,NA,NA,NA,"IGHV5-10-1"
NA,"ERCC2",NA,NA,NA,NA,NA,NA,NA,NA,"RAF1"
NA,"ZNF267",NA,NA,NA,NA,NA,NA,NA,NA,"SLC2A9"
NA,"VPS37B",NA,NA,NA,NA,NA,NA,NA,NA,"CDC27"
NA,"IFRD2",NA,NA,NA,NA,NA,NA,NA,NA,"ABCF1"
NA,"USP43",NA,NA,NA,NA,NA,NA,NA,NA,"CLEC4G"
NA,"RAP1GDS1",NA,NA,NA,NA,NA,NA,NA,NA,"SLC11A2"
NA,"BCKDHA",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF629"
NA,"CDC42EP1",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2E3"
NA,"TXNDC17",NA,NA,NA,NA,NA,NA,NA,NA,"OLFML1"
NA,"ARL4D",NA,NA,NA,NA,NA,NA,NA,NA,"DIO3"
NA,"ZNF831",NA,NA,NA,NA,NA,NA,NA,NA,"ABRAXAS1"
NA,"CHCHD10",NA,NA,NA,NA,NA,NA,NA,NA,"CASK"
NA,"PARD6B",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF595"
NA,"HPGD",NA,NA,NA,NA,NA,NA,NA,NA,"AMMECR1"
NA,"C22orf34",NA,NA,NA,NA,NA,NA,NA,NA,"CNN1"
NA,"DAB2",NA,NA,NA,NA,NA,NA,NA,NA,"FAAH2"
NA,"KMT2C",NA,NA,NA,NA,NA,NA,NA,NA,"METTL9"
NA,"PROC",NA,NA,NA,NA,NA,NA,NA,NA,"COPS3"
NA,"HLA-DQA2",NA,NA,NA,NA,NA,NA,NA,NA,"MGME1"
NA,"CAND1",NA,NA,NA,NA,NA,NA,NA,NA,"NXF1"
NA,"ZDHHC18",NA,NA,NA,NA,NA,NA,NA,NA,"ARPC5L"
NA,"AGTRAP",NA,NA,NA,NA,NA,NA,NA,NA,"CDS1"
NA,"DHDDS",NA,NA,NA,NA,NA,NA,NA,NA,"C1orf174"
NA,"AL035587.2",NA,NA,NA,NA,NA,NA,NA,NA,"FAM83D"
NA,"TBC1D20",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF778"
NA,"AC111182.1",NA,NA,NA,NA,NA,NA,NA,NA,"SETD5"
NA,"FBXO9",NA,NA,NA,NA,NA,NA,NA,NA,"EHD2"
NA,"EIF3I",NA,NA,NA,NA,NA,NA,NA,NA,"KATNAL1"
NA,"DCAF8",NA,NA,NA,NA,NA,NA,NA,NA,"KLHL28"
NA,"SRD5A1",NA,NA,NA,NA,NA,NA,NA,NA,"LIG1"
NA,"CYP2B6",NA,NA,NA,NA,NA,NA,NA,NA,"EFNB2"
NA,"AC007009.1",NA,NA,NA,NA,NA,NA,NA,NA,"SNX13"
NA,"TMX4",NA,NA,NA,NA,NA,NA,NA,NA,"ABHD11"
NA,"MADCAM1",NA,NA,NA,NA,NA,NA,NA,NA,"RHPN2"
NA,"C10orf25",NA,NA,NA,NA,NA,NA,NA,NA,"AC015819.2"
NA,"LSM6",NA,NA,NA,NA,NA,NA,NA,NA,"HAS2"
NA,"TGS1",NA,NA,NA,NA,NA,NA,NA,NA,"EIF3L"
NA,"MASP2",NA,NA,NA,NA,NA,NA,NA,NA,"NRN1"
NA,"FAM98A",NA,NA,NA,NA,NA,NA,NA,NA,"AC109454.2"
NA,"POLI",NA,NA,NA,NA,NA,NA,NA,NA,"IKZF5"
NA,"ZBTB47",NA,NA,NA,NA,NA,NA,NA,NA,"INO80D"
NA,"BID",NA,NA,NA,NA,NA,NA,NA,NA,"UVRAG"
NA,"DGAT2",NA,NA,NA,NA,NA,NA,NA,NA,"FIZ1"
NA,"SMC1A",NA,NA,NA,NA,NA,NA,NA,NA,"UBTF"
NA,"SLC66A2",NA,NA,NA,NA,NA,NA,NA,NA,"TTC17"
NA,"SLC43A1",NA,NA,NA,NA,NA,NA,NA,NA,"IGHV6-1"
NA,"HSPE1",NA,NA,NA,NA,NA,NA,NA,NA,"DCAF10"
NA,"DAXX",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS17"
NA,"PI4K2B",NA,NA,NA,NA,NA,NA,NA,NA,"AL390208.1"
NA,"PIK3C2G",NA,NA,NA,NA,NA,NA,NA,NA,"TIMELESS"
NA,"LINC02499",NA,NA,NA,NA,NA,NA,NA,NA,"LIX1L"
NA,"SNX11",NA,NA,NA,NA,NA,NA,NA,NA,"NOP56"
NA,"PRDX3",NA,NA,NA,NA,NA,NA,NA,NA,"AL035661.1"
NA,"SMIM4",NA,NA,NA,NA,NA,NA,NA,NA,"C19orf53"
NA,"CELF2",NA,NA,NA,NA,NA,NA,NA,NA,"FAM89B"
NA,"MBNL2",NA,NA,NA,NA,NA,NA,NA,NA,"AC110995.1"
NA,"EFCAB14",NA,NA,NA,NA,NA,NA,NA,NA,"IGFBP7"
NA,"GPR82",NA,NA,NA,NA,NA,NA,NA,NA,"CNOT9"
NA,"FADS3",NA,NA,NA,NA,NA,NA,NA,NA,"LINC01917"
NA,"RUNX3",NA,NA,NA,NA,NA,NA,NA,NA,"C16orf54"
NA,"SNU13",NA,NA,NA,NA,NA,NA,NA,NA,"HAR1A"
NA,"MRPL54",NA,NA,NA,NA,NA,NA,NA,NA,"IGBP1"
NA,"KIAA1671",NA,NA,NA,NA,NA,NA,NA,NA,"CD69"
NA,"MT1F",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM168"
NA,"GOLGA1",NA,NA,NA,NA,NA,NA,NA,NA,"PREX2"
NA,"GRINA",NA,NA,NA,NA,NA,NA,NA,NA,"AC010536.1"
NA,"CYB5RL",NA,NA,NA,NA,NA,NA,NA,NA,"IGLV3-27"
NA,"ZKSCAN2",NA,NA,NA,NA,NA,NA,NA,NA,"IL7"
NA,"ITIH1",NA,NA,NA,NA,NA,NA,NA,NA,"SERP1"
NA,"CFDP1",NA,NA,NA,NA,NA,NA,NA,NA,"RPS8"
NA,"ACADS",NA,NA,NA,NA,NA,NA,NA,NA,"BPI"
NA,"AP000553.2",NA,NA,NA,NA,NA,NA,NA,NA,"SUB1"
NA,"HID1",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC110"
NA,"RUVBL1",NA,NA,NA,NA,NA,NA,NA,NA,"PPP4R2"
NA,"CTR9",NA,NA,NA,NA,NA,NA,NA,NA,"IGHV3-30"
NA,"CNN3",NA,NA,NA,NA,NA,NA,NA,NA,"BOD1"
NA,"NXF1",NA,NA,NA,NA,NA,NA,NA,NA,"SIDT2"
NA,"SHROOM1",NA,NA,NA,NA,NA,NA,NA,NA,"MXRA7"
NA,"RNF10",NA,NA,NA,NA,NA,NA,NA,NA,"HUS1"
NA,"TGFBI",NA,NA,NA,NA,NA,NA,NA,NA,"GSE1"
NA,"CISH",NA,NA,NA,NA,NA,NA,NA,NA,"SOCS3"
NA,"ESYT1",NA,NA,NA,NA,NA,NA,NA,NA,"NOL11"
NA,"COA6-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"AL512306.2"
NA,"SMPD1",NA,NA,NA,NA,NA,NA,NA,NA,"DDX27"
NA,"CTLA4",NA,NA,NA,NA,NA,NA,NA,NA,"LRCH3"
NA,"AC064836.4",NA,NA,NA,NA,NA,NA,NA,NA,"RARG"
NA,"CACNG8",NA,NA,NA,NA,NA,NA,NA,NA,"C7"
NA,"HEBP2",NA,NA,NA,NA,NA,NA,NA,NA,"FLOT1"
NA,"EIF5AL1",NA,NA,NA,NA,NA,NA,NA,NA,"CEP128"
NA,"PRXL2A",NA,NA,NA,NA,NA,NA,NA,NA,"HPS1"
NA,"FAH",NA,NA,NA,NA,NA,NA,NA,NA,"AC244090.1"
NA,"APOC3",NA,NA,NA,NA,NA,NA,NA,NA,"ZFYVE21"
NA,"CRY1",NA,NA,NA,NA,NA,NA,NA,NA,"RIMKLB"
NA,"NFKBIL1",NA,NA,NA,NA,NA,NA,NA,NA,"SLC6A7"
NA,"CDK18",NA,NA,NA,NA,NA,NA,NA,NA,"METTL21A"
NA,"DBI",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF600"
NA,"TRIM61",NA,NA,NA,NA,NA,NA,NA,NA,"SNHG8"
NA,"CCDC77",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF296"
NA,"SERPINF1",NA,NA,NA,NA,NA,NA,NA,NA,"FCER2"
NA,"MIR22HG",NA,NA,NA,NA,NA,NA,NA,NA,"BIK"
NA,"NOP2",NA,NA,NA,NA,NA,NA,NA,NA,"GPR107"
NA,"TGFB1I1",NA,NA,NA,NA,NA,NA,NA,NA,"MILR1"
NA,"RBM33",NA,NA,NA,NA,NA,NA,NA,NA,"AL157394.3"
NA,"NADSYN1",NA,NA,NA,NA,NA,NA,NA,NA,"ALOX5AP"
NA,"HAMP",NA,NA,NA,NA,NA,NA,NA,NA,"PYROXD1"
NA,"UQCRQ",NA,NA,NA,NA,NA,NA,NA,NA,"SF3B4"
NA,"CEP68",NA,NA,NA,NA,NA,NA,NA,NA,"RHEB"
NA,"WSB2",NA,NA,NA,NA,NA,NA,NA,NA,"SPATA2L"
NA,"IER2",NA,NA,NA,NA,NA,NA,NA,NA,"PTGES"
NA,"PER3",NA,NA,NA,NA,NA,NA,NA,NA,"AC005410.2"
NA,"SFXN4",NA,NA,NA,NA,NA,NA,NA,NA,"PLEKHS1"
NA,"HLF",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF215"
NA,"ACAT1",NA,NA,NA,NA,NA,NA,NA,NA,"FAM47E"
NA,"NSL1",NA,NA,NA,NA,NA,NA,NA,NA,"BACH1-IT2"
NA,"EIF5A2",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF816"
NA,"PCDH9",NA,NA,NA,NA,NA,NA,NA,NA,"EVA1B"
NA,"TMPRSS6",NA,NA,NA,NA,NA,NA,NA,NA,"SOX6"
NA,"LMBRD1",NA,NA,NA,NA,NA,NA,NA,NA,"LINC01644"
NA,"HAGH",NA,NA,NA,NA,NA,NA,NA,NA,"HCK"
NA,"ACTN4",NA,NA,NA,NA,NA,NA,NA,NA,"TTC32"
NA,"IGFBP3",NA,NA,NA,NA,NA,NA,NA,NA,"FKBP8"
NA,"USP10",NA,NA,NA,NA,NA,NA,NA,NA,"AC009831.3"
NA,"SEC22B",NA,NA,NA,NA,NA,NA,NA,NA,"METTL4"
NA,"ZMPSTE24",NA,NA,NA,NA,NA,NA,NA,NA,"USP49"
NA,"PDE4C",NA,NA,NA,NA,NA,NA,NA,NA,"CERK"
NA,"MIA3",NA,NA,NA,NA,NA,NA,NA,NA,"LINC01140"
NA,"CDON",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL28"
NA,"HTATSF1",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC93"
NA,"LINC01239",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF226"
NA,"LSM14A",NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD28"
NA,"ICAM5",NA,NA,NA,NA,NA,NA,NA,NA,"RPL36AL"
NA,"PPP6R2",NA,NA,NA,NA,NA,NA,NA,NA,"CRTC3"
NA,"APOL3",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF148"
NA,"WDR46",NA,NA,NA,NA,NA,NA,NA,NA,"RELL1"
NA,"SLC44A1",NA,NA,NA,NA,NA,NA,NA,NA,"NAA40"
NA,"HPSE",NA,NA,NA,NA,NA,NA,NA,NA,"ALG11"
NA,"MAPRE1",NA,NA,NA,NA,NA,NA,NA,NA,"BTBD2"
NA,"ABCB4",NA,NA,NA,NA,NA,NA,NA,NA,"SAV1"
NA,"COQ8A",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF131"
NA,"STIMATE",NA,NA,NA,NA,NA,NA,NA,NA,"PTCH2"
NA,"VWA1",NA,NA,NA,NA,NA,NA,NA,NA,"CD7"
NA,"ATPSCKMT",NA,NA,NA,NA,NA,NA,NA,NA,"LANCL1"
NA,"PTPRA",NA,NA,NA,NA,NA,NA,NA,NA,"PER2"
NA,"TCEAL7",NA,NA,NA,NA,NA,NA,NA,NA,"AC245014.3"
NA,"PMF1",NA,NA,NA,NA,NA,NA,NA,NA,"SIPA1L1"
NA,"AC007613.1",NA,NA,NA,NA,NA,NA,NA,NA,"TVP23C"
NA,"PLD1",NA,NA,NA,NA,NA,NA,NA,NA,"FAM214A"
NA,"AC015917.2",NA,NA,NA,NA,NA,NA,NA,NA,"GCNT1"
NA,"CBR3-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"XRN2"
NA,"MRPL55",NA,NA,NA,NA,NA,NA,NA,NA,"SEMA5A"
NA,"AC007376.2",NA,NA,NA,NA,NA,NA,NA,NA,"MIR9-3HG"
NA,"NBR1",NA,NA,NA,NA,NA,NA,NA,NA,"TRIM68"
NA,"EIF4EBP2",NA,NA,NA,NA,NA,NA,NA,NA,"WDR20"
NA,"LYSMD1",NA,NA,NA,NA,NA,NA,NA,NA,"AC009318.1"
NA,"DEDD",NA,NA,NA,NA,NA,NA,NA,NA,"SPTLC2"
NA,"MAP3K14-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"EEFSEC"
NA,"MRPL12",NA,NA,NA,NA,NA,NA,NA,NA,"SPARC"
NA,"NUP153",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC91"
NA,"CLEC12A",NA,NA,NA,NA,NA,NA,NA,NA,"NBAS"
NA,"AL132800.1",NA,NA,NA,NA,NA,NA,NA,NA,"PPRC1"
NA,"ZNF697",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL9"
NA,"KRT222",NA,NA,NA,NA,NA,NA,NA,NA,"AC005520.2"
NA,"MPV17L",NA,NA,NA,NA,NA,NA,NA,NA,"AL121601.1"
NA,"CCT6A",NA,NA,NA,NA,NA,NA,NA,NA,"C20orf27"
NA,"CDIP1",NA,NA,NA,NA,NA,NA,NA,NA,"NIPA2"
NA,"AP005262.2",NA,NA,NA,NA,NA,NA,NA,NA,"STARD13"
NA,"DEPTOR",NA,NA,NA,NA,NA,NA,NA,NA,"RILP"
NA,"CKB",NA,NA,NA,NA,NA,NA,NA,NA,"KAT7"
NA,"SDHB",NA,NA,NA,NA,NA,NA,NA,NA,"TRAM1"
NA,"MAP3K6",NA,NA,NA,NA,NA,NA,NA,NA,"BCL11A"
NA,"LONRF1",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM209"
NA,"TEPP",NA,NA,NA,NA,NA,NA,NA,NA,"SIGLEC5"
NA,"MT-ND2",NA,NA,NA,NA,NA,NA,NA,NA,"UBXN6"
NA,"KEL",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF860"
NA,"VPS37C",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF205"
NA,"SLC26A11",NA,NA,NA,NA,NA,NA,NA,NA,"NRSN2"
NA,"CCDC59",NA,NA,NA,NA,NA,NA,NA,NA,"UNKL"
NA,"ZKSCAN8",NA,NA,NA,NA,NA,NA,NA,NA,"AC079630.1"
NA,"FAM83H",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM72"
NA,"TDGF1",NA,NA,NA,NA,NA,NA,NA,NA,"YPEL3"
NA,"AGGF1",NA,NA,NA,NA,NA,NA,NA,NA,"CENPX"
NA,"CNOT6L",NA,NA,NA,NA,NA,NA,NA,NA,"AC134312.5"
NA,"SNX18",NA,NA,NA,NA,NA,NA,NA,NA,"CTNS"
NA,"ZDHHC1",NA,NA,NA,NA,NA,NA,NA,NA,"AP001267.4"
NA,"ATP6V1C1",NA,NA,NA,NA,NA,NA,NA,NA,"AC007952.4"
NA,"EIF2S3",NA,NA,NA,NA,NA,NA,NA,NA,"ZFP28"
NA,"TXNRD3",NA,NA,NA,NA,NA,NA,NA,NA,"ARHGAP1"
NA,"SERPINF2",NA,NA,NA,NA,NA,NA,NA,NA,"SYNPO2"
NA,"TBC1D10A",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF593"
NA,"XRCC5",NA,NA,NA,NA,NA,NA,NA,NA,"PLPP5"
NA,"HIC1",NA,NA,NA,NA,NA,NA,NA,NA,"NSUN4"
NA,"PRKN",NA,NA,NA,NA,NA,NA,NA,NA,"NT5C2"
NA,"DDAH1",NA,NA,NA,NA,NA,NA,NA,NA,"PAIP2B"
NA,"TMIGD3",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC186"
NA,"DNTTIP1",NA,NA,NA,NA,NA,NA,NA,NA,"PLA2G4C"
NA,"MYL12B",NA,NA,NA,NA,NA,NA,NA,NA,"SNHG17"
NA,"RBP5",NA,NA,NA,NA,NA,NA,NA,NA,"MCM3AP"
NA,"FAM160A2",NA,NA,NA,NA,NA,NA,NA,NA,"ESPNL"
NA,"PACS2",NA,NA,NA,NA,NA,NA,NA,NA,"ERI3"
NA,"RETSAT",NA,NA,NA,NA,NA,NA,NA,NA,"ADCK5"
NA,"NDEL1",NA,NA,NA,NA,NA,NA,NA,NA,"EFEMP2"
NA,"BCCIP",NA,NA,NA,NA,NA,NA,NA,NA,"RPL27"
NA,"RAB15",NA,NA,NA,NA,NA,NA,NA,NA,"BAG1"
NA,"TRAM1",NA,NA,NA,NA,NA,NA,NA,NA,"EVA1C"
NA,"SNRNP25",NA,NA,NA,NA,NA,NA,NA,NA,"ALDH18A1"
NA,"LCAT",NA,NA,NA,NA,NA,NA,NA,NA,"GNAI2"
NA,"CDKN1A",NA,NA,NA,NA,NA,NA,NA,NA,"STX12"
NA,"ZSWIM8",NA,NA,NA,NA,NA,NA,NA,NA,"ZCCHC8"
NA,"COMMD1",NA,NA,NA,NA,NA,NA,NA,NA,"FSCN1"
NA,"FGD5",NA,NA,NA,NA,NA,NA,NA,NA,"PDCL3"
NA,"GPC2",NA,NA,NA,NA,NA,NA,NA,NA,"AC008875.2"
NA,"ZCCHC24",NA,NA,NA,NA,NA,NA,NA,NA,"TCEAL3"
NA,"REPS1",NA,NA,NA,NA,NA,NA,NA,NA,"UBQLN1"
NA,"GNG10",NA,NA,NA,NA,NA,NA,NA,NA,"PDE4DIP"
NA,"ANXA7",NA,NA,NA,NA,NA,NA,NA,NA,"SRA1"
NA,"MGAT4B",NA,NA,NA,NA,NA,NA,NA,NA,"KPNA1"
NA,"RADX",NA,NA,NA,NA,NA,NA,NA,NA,"SNX16"
NA,"NDFIP2",NA,NA,NA,NA,NA,NA,NA,NA,"RILPL2"
NA,"AGPAT1",NA,NA,NA,NA,NA,NA,NA,NA,"EXOC3"
NA,"PHYKPL",NA,NA,NA,NA,NA,NA,NA,NA,"ST3GAL2"
NA,"MDH2",NA,NA,NA,NA,NA,NA,NA,NA,"CLTC"
NA,"F2",NA,NA,NA,NA,NA,NA,NA,NA,"NSRP1"
NA,"AL354707.1",NA,NA,NA,NA,NA,NA,NA,NA,"SSB"
NA,"SLC9A3R1",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL2"
NA,"NFU1",NA,NA,NA,NA,NA,NA,NA,NA,"ANKRD6"
NA,"H6PD",NA,NA,NA,NA,NA,NA,NA,NA,"BNIP3L"
NA,"TTC32",NA,NA,NA,NA,NA,NA,NA,NA,"H2AFZ"
NA,"CHADL",NA,NA,NA,NA,NA,NA,NA,NA,"OGFRP1"
NA,"PACSIN3",NA,NA,NA,NA,NA,NA,NA,NA,"ZSCAN16"
NA,"COG3",NA,NA,NA,NA,NA,NA,NA,NA,"AC073862.1"
NA,"WDR45B",NA,NA,NA,NA,NA,NA,NA,NA,"RFPL3S"
NA,"MYLK4",NA,NA,NA,NA,NA,NA,NA,NA,"AP000345.2"
NA,"CD82",NA,NA,NA,NA,NA,NA,NA,NA,"TUBB6"
NA,"USP1",NA,NA,NA,NA,NA,NA,NA,NA,"GTF3A"
NA,"CNIH1",NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R35"
NA,"WDR59",NA,NA,NA,NA,NA,NA,NA,NA,"TP53"
NA,"SFMBT1",NA,NA,NA,NA,NA,NA,NA,NA,"COASY"
NA,"TSHZ1",NA,NA,NA,NA,NA,NA,NA,NA,"IL1R1"
NA,"TRABD2B",NA,NA,NA,NA,NA,NA,NA,NA,"RPL21"
NA,"STX17",NA,NA,NA,NA,NA,NA,NA,NA,"IDH3B"
NA,"TFRC",NA,NA,NA,NA,NA,NA,NA,NA,"SPRY2"
NA,"PTER",NA,NA,NA,NA,NA,NA,NA,NA,"FBXO30"
NA,"KLHDC8B",NA,NA,NA,NA,NA,NA,NA,NA,"AC037198.1"
NA,"PTCD3",NA,NA,NA,NA,NA,NA,NA,NA,"MAP3K11"
NA,"TAS2R4",NA,NA,NA,NA,NA,NA,NA,NA,"AL359258.2"
NA,"DAP",NA,NA,NA,NA,NA,NA,NA,NA,"UPK3BL1"
NA,"LIMS2",NA,NA,NA,NA,NA,NA,NA,NA,"RPL10"
NA,"ADGRA3",NA,NA,NA,NA,NA,NA,NA,NA,"LSM4"
NA,"AC012360.2",NA,NA,NA,NA,NA,NA,NA,NA,"FAM160B1"
NA,"FAM83A-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC2"
NA,"IGFBP1",NA,NA,NA,NA,NA,NA,NA,NA,"AL357054.4"
NA,"RABL3",NA,NA,NA,NA,NA,NA,NA,NA,"COG7"
NA,"HSPB11",NA,NA,NA,NA,NA,NA,NA,NA,"PRR11"
NA,"RALGAPA1",NA,NA,NA,NA,NA,NA,NA,NA,"AP000253.1"
NA,"AKR1C3",NA,NA,NA,NA,NA,NA,NA,NA,"CHAC2"
NA,"TAF7L",NA,NA,NA,NA,NA,NA,NA,NA,"EEF1A2"
NA,"MROH7",NA,NA,NA,NA,NA,NA,NA,NA,"MAPKAPK2"
NA,"QPRT",NA,NA,NA,NA,NA,NA,NA,NA,"NAP1L4"
