"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"ITPKA","OXER1","CLIP2","AC025034.1","SLC25A26","ZNF621","KLHDC1","C1RL-AS1",NA,"BX664727.3","GPAT2"
"C2CD4A","SLC3A1","KIAA1324L","LINC02361","RYBP","EXOSC7","PTGER2","AC004241.1",NA,"PRKCQ-AS1","ITPRIPL1"
"AC116913.1","PRKCE","FAM133B","SMIM2-AS1","TRAT1","FYCO1","CDKN3","RFLNA",NA,"ZNF225","NEURL3"
"CTXND1","ACYP2","POLR2J3","LINC00402","TIGIT","RTP3","AL157756.1","ATP8A2",NA,"LRRC23","AC159540.2"
"AC004233.2","PNO1","RBM28","MYO16","SEC22A","GMPPB","FNTB","FLT3",NA,"RPUSD2","LIPT1"
"AC022167.2","CYP26B1","HILPDA","AL118558.4","ISY1","DOCK3","C14orf132","LINC00330",NA,"ADRA2A","CHST10"
"AC092119.2","DQX1","FLNC","CEP170B","H1FX-AS1","CACNA1D","AL132709.8","DLEU2",NA,"SLC34A2","NPAS2"
"EIF3CL","EVA1A","TNPO3","GPR132","RYK","ACTR8","LINC00239","AL137002.1",NA,"MIR762HG","IL18RAP"
"NRN1L","GCFC2","NUP205","AC020659.1","MRAS","ARL6","TUBGCP5","ADPRHL1",NA,"MC1R","SULT1C4"
"PHLPP2","IGKV1-39","PRSS1","AC018926.3","RASA2","RIOX2","AC022613.2","C13orf46",NA,"ZNF586","CCDC138"
"GINS2","LINC01127","PRSS2","AC021739.2","SLC9A9","CPOX","AC123768.3","AL161668.4",NA,"STK26","SEPTIN10"
"AC233723.1","IL1RL1","WDR60","SPATA41","MYNN","CEP97","LINC02694","EGLN3",NA,"TMOD2","SCTR"
"C17orf100","MRPS9","MSR1","AL022341.2","ZNF639","NECTIN3","UBL7-AS1","FOXA1",NA,"JADE3","C2orf27A"
"RNF227","C2orf49","HOOK3","LINC00921","AC046143.2","PLCXD2","CIB2","AL359220.1",NA,NA,"R3HDM1"
"AC006449.6","ST6GAL2","DNAJC5B","TFAP4","NRROS","GATA2","GDPGP1","AL359232.1",NA,NA,"GTDC1"
"RAPGEFL1","MALL","CSPP1","LINC02195","LYAR","AC108673.3","PMM2","LINC02298",NA,NA,"TTC21B"
"CR936218.2","NPHP1","ZNF704","SLX1B","ZBTB49","TMCC1","SCNN1B","ATP10A",NA,NA,"STK39"
"SP6","RGPD8","UTP23","CMTM2","ANAPC4","PLS1","SULT1A4","CHAC1",NA,NA,"METTL5"
"AC007114.1","AC079922.2","PHF20L1","AC027682.6","TLR10","PAQR9","AC012181.1","AC018926.2",NA,NA,"DCAF17"
"AC025048.2","IL1RN","RMRP","AC130343.2","BEND4","C3orf33","ENKD1","PRTG",NA,NA,"CHN1"
"SSTR2","TFCP2L1","TRMT10B","ZNF232","SHISA3","TIPARP","CDYL2","TLN2",NA,NA,"CHROMR"
"TK1","MAP3K2-DT","KIF27","SLC25A35","FDCSP","EEF1AKMT4","TUBB3","AC022558.3",NA,NA,"PPP1R1C"
