"","Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"RPL22",1.04199075698853,2.54637384414673,0.100728809833527,2.3036572933197,1.28397488594055,0.211807653307915,0.926082134246826,2.12938785552979,0.168908178806305,0.0350859239697456,1.43806719779968
"RNF207",0.00575892021879554,0.0373363457620144,0.000128911604406312,0.00269844615831971,0.00351533177308738,0.00218721386045218,0.0100703109055758,0.00283721485175192,0.00019513739971444,0.000196174543816596,0.0201577935367823
"ICMT",0.982270836830139,0.518832206726074,0,0.00128205143846571,0.972737789154053,0.000418970303144306,0.0306554026901722,1.25312733650208,7.52750638639554e-05,8.45958784339018e-05,0.169357866048813
"GPR153",0.00249043735675514,0.00228169304318726,0.00499590858817101,0.00279055093415082,0.00294665596447885,0.00503561645746231,0.132447093725204,0.0030076508410275,0.000329215632518753,0.000103653736005072,0.0177633557468653
"ACOT7",1.11549615859985,0.0522717051208019,0.0120622823014855,0.652869701385498,1.01603806018829,0.00343781802803278,0.0389986597001553,0.00765447877347469,0.000547193689271808,0.00058309716405347,0.00513481628149748
"AL031848.2",0.00230255699716508,0.00178381241858006,0.000134055662783794,0.00186532060615718,0.00229261466301978,0.00218720128759742,0.000546146067790687,0.00228216801770031,0.000118095929792617,7.65475851949304e-05,0.000389163935324177
"HES2",0.0026547284796834,0.00221431185491383,0.00025104547967203,0.00202634278684855,0.00221140985377133,0.00259681395255029,0.000574090518057346,0.00258190464228392,0.000133076799102128,7.26842627045698e-05,0.00047317091957666
"ESPN",0.550595104694366,0.397991299629211,0.000164726632647216,1.06333017349243,0.96227890253067,0.00170547643210739,0.125380605459213,0.892431974411011,5.59532163606491e-05,5.1838160288753e-05,0
"TNFRSF25",0.0008603087044321,0.151841849088669,0.0017035627970472,0.82361763715744,1.02168083190918,0.00202108919620514,0.0081776101142168,0.00461832154542208,0.0499420203268528,0.00122693344019353,0.110103078186512
"PLEKHG5",0.00477358093485236,0.00748672243207693,0.000367117987480015,0.00455544143915176,0.00537566095590591,0.00272071920335293,0.00438585039228201,0.00480841705575585,0.000212402956094593,0.000147425438626669,0.00718240113928914
"NOL9",0.00241829128935933,0.0192871019244194,0.0096547557041049,0.00179124670103192,0.0103149460628629,0.00521682063117623,0.0326596386730671,0.481040388345718,0.000306944741168991,0.000110658904304728,0.0768362581729889
"TAS1R1",0.00223027751781046,0.00218065665103495,0.000128623025375418,0.00189231487456709,0.00283262762241066,0.00247960560955107,0.000578728911932558,0.00297992466948926,0.000106641942693386,8.46874681883492e-05,0.000458725291537121
"ZBTB48",0.52198338508606,0.522958695888519,0.00121926388237625,0.443532884120941,1.02208638191223,0.934873223304749,0.151774883270264,0.582723200321198,9.09158261492848e-05,0.000159271454322152,0.0504465885460377
"KLHL21",0.5471271276474,0.00141658680513501,0.000171837469679303,0.0021916797850281,0.00292306346818805,0.00167186441831291,0.14888921380043,0.00181980500929058,0.00215964787639678,0.0344487652182579,0.122696608304977
"PHF13",0.00661521404981613,0.185318380594254,0.00184517574962229,0.00528962723910809,0.0275256149470806,0.00356415589340031,0.0129146073013544,0.00522577529773116,9.56728908931836e-05,0.000331338378600776,0.0351633094251156
"THAP3",0.521490275859833,0.0341964289546013,0.0132061569020152,0.00273803994059563,0.0030598770827055,0.00550848944112659,0.0732929855585098,0.00317077036015689,4.07779443776235e-05,6.6492153564468e-05,0.00112457119394094
"DNAJC11",0.00144193263258785,0.128325685858727,0.0141327315941453,0.00360236992128193,0.0015862638829276,0.927749872207642,0.202342748641968,1.05797135829926,0.00021266783005558,6.17084879195318e-05,0.0670861005783081
"CAMTA1-DT",0.00289014959707856,0.00550305983051658,0.000135165304527618,0.00208437140099704,0.00234038871712983,0.00342259253375232,0.00317795109003782,0.00287019298411906,0.00010137380741071,8.02152644610032e-05,0.000548736774362624
"CAMTA1",0.00385170965455472,0.0896755456924438,0.0113246589899063,0.417396515607834,0.0364638045430183,0.988606691360474,0.0212354641407728,0.764143347740173,0.000181005205377005,4.46700760221574e-05,0.16467159986496
"VAMP3",0.00221538380719721,0.0400601960718632,0.000505803385749459,0.447455316781998,0.00208038743585348,0.914912283420563,0.183515131473541,0.554903864860535,9.60087782004848e-05,4.23627898271661e-05,0.0596952736377716
"PER3",0.511995434761047,0.236061468720436,0.0256177764385939,0.00573574053123593,0.0134669821709394,0.0118386941030622,0.00276118470355868,0.00456575118005276,0.000226513468078338,0.000342491402989253,0.035517580807209
"TNFRSF9",0.0028719122055918,0.0411277189850807,0.000237415573792532,0.00280287326313555,0.00240810355171561,0.00244717509485781,0.00100075732916594,0.00321085611358285,0.000130596512462944,8.61917942529544e-05,0.000745568366255611
"PARK7",1.11555051803589,1.47126817703247,0.0287978071719408,1.05050837993622,1.72689747810364,1.63001322746277,0.267752349376678,1.91051387786865,0.00783867947757244,0.0336418934166431,0.363988667726517
"AL034417.4",0.00240023108199239,0.00181005557533354,0.000206394266569987,0.0021601808257401,0.0024519523140043,0.00200832658447325,0.000655950978398323,0.00313328113406897,0.00013252955977805,0.000105896520835813,0.000621021434199065
